Level	Desc	IsSave	IsSync	OverlayDay	AutoGive	FightingSpirit	Exp	Energy	Silver	Prestige	Item1	Item1AmountMin	Item1AmountMax	Item1Rate	Item1TimeOut	Item2	Item2AmountMin	Item2AmountMax	Item2Rate	Item2TimeOut	Item3	Item3AmountMin	Item3AmountMax	Item3Rate	Item3TimeOut	Item4	Item4AmountMin	Item4AmountMax	Item4Rate	Item4TimeOut	Item5	Item5AmountMin	Item5AmountMax	Item5Rate	Item5TimeOut	Item6	Item6AmountMin	Item6AmountMax	Item6Rate	Item6TimeOut	Item7	Item7AmountMin	Item7AmountMax	Item7Rate	Item7TimeOut	Item8	Item8AmountMin	Item8AmountMax	Item8Rate	Item8TimeOut	Item9	Item9AmountMin	Item9AmountMax	Item9Rate	Item9TimeOut	Item10	Item10AmountMin	Item10AmountMax	Item10Rate	Item10TimeOut
等级	奖励备注，供理解	是否存盘	是否发送客户端	累计天数	是否直接领取	战魂	经验	真气	银两	声望																																																		
1	战斗胜利	0	0	0	1	400																																																						
2	战斗失败	0	0	0	1	200																																																						
3	首胜	1	1	1	0	200																																																						
4	5连胜	1	1	1	0	500																																																						
5	10连胜	1	1	1	0	1000																																																						
6	15连胜	1	1	1	0	2000																																																						
7	20连胜	1	1	1	0	3000																																																						
8	25连胜	1	1	1	0	4000																																																						
9	30连胜	1	1	1	0	5000																																																						
10	35连胜	1	1	1	0	6000																																																						
11	40连胜	1	1	1	0	8000																																																						
12	45连胜	1	1	1	0	10000																																																						
13	50连胜	1	1	1	0	15000																																																						
