Level	Desc	IsSave	IsSync	OverlayDay	AutoGive	FightingSpirit	Exp	Energy	Silver	Prestige	Item1	Item1AmountMin	Item1AmountMax	Item1Rate	Item1TimeOut	Item2	Item2AmountMin	Item2AmountMax	Item2Rate	Item2TimeOut	Item3	Item3AmountMin	Item3AmountMax	Item3Rate	Item3TimeOut	Item4	Item4AmountMin	Item4AmountMax	Item4Rate	Item4TimeOut	Item5	Item5AmountMin	Item5AmountMax	Item5Rate	Item5TimeOut	Item6	Item6AmountMin	Item6AmountMax	Item6Rate	Item6TimeOut	Item7	Item7AmountMin	Item7AmountMax	Item7Rate	Item7TimeOut	Item8	Item8AmountMin	Item8AmountMax	Item8Rate	Item8TimeOut	Item9	Item9AmountMin	Item9AmountMax	Item9Rate	Item9TimeOut	Item10	Item10AmountMin	Item10AmountMax	Item10Rate	Item10TimeOut
等级	奖励备注，供理解	是否存盘	是否发送客户端	累计天数	是否直接领取	战魂	经验	真气	银两	声望																																																		
1	第1名	1	1	1	0	30000			500000																																																			
2	第2名	1	1	1	0	18000			250000																																																			
3	第3名	1	1	1	0	15000			100000																																																			
4	第4名	1	1	1	0	13000			80000																																																			
5	第5名	1	1	1	0	12000			70000																																																			
6	第6名	1	1	1	0	11900			65000																																																			
7	第7名	1	1	1	0	11700			60000																																																			
8	第8名	1	1	1	0	11600			55000																																																			
9	第9名	1	1	1	0	11400			50000																																																			
10	第10名	1	1	1	0	11200			45000																																																			
11	第11名	1	1	1	0	11170			44000																																																			
12	第12名	1	1	1	0	11100			43000																																																			
13	第13名	1	1	1	0	11020			42000																																																			
14	第14名	1	1	1	0	10950			41000																																																			
15	第15名	1	1	1	0	10880			40000																																																			
16	第16名	1	1	1	0	10810			39500																																																			
17	第17名	1	1	1	0	10740			39000																																																			
18	第18名	1	1	1	0	10680			38500																																																			
19	第19名	1	1	1	0	10610			38000																																																			
20	第20名	1	1	1	0	10540			37500																																																			
21	第21名	1	1	1	0	10480			37400																																																			
22	第22名	1	1	1	0	10410			37300																																																			
23	第23名	1	1	1	0	10350			37200																																																			
24	第24名	1	1	1	0	10290			37100																																																			
25	第25名	1	1	1	0	10220			37000																																																			
26	第26名	1	1	1	0	10160			36900																																																			
27	第27名	1	1	1	0	10100			36800																																																			
28	第28名	1	1	1	0	10040			36700																																																			
29	第29名	1	1	1	0	9980			36600																																																			
30	第30名	1	1	1	0	9920			36500																																																			
31	第31名	1	1	1	0	9860			36400																																																			
32	第32名	1	1	1	0	9810			36300																																																			
33	第33名	1	1	1	0	9750			36200																																																			
34	第34名	1	1	1	0	9690			36100																																																			
35	第35名	1	1	1	0	9640			36000																																																			
36	第36名	1	1	1	0	9580			35900																																																			
37	第37名	1	1	1	0	9530			35800																																																			
38	第38名	1	1	1	0	9480			35700																																																			
39	第39名	1	1	1	0	9420			35600																																																			
40	第40名	1	1	1	0	9370			35500																																																			
41	第41名	1	1	1	0	9320			35400																																																			
42	第42名	1	1	1	0	9270			35300																																																			
43	第43名	1	1	1	0	9220			35200																																																			
44	第44名	1	1	1	0	9170			35100																																																			
45	第45名	1	1	1	0	9120			35000																																																			
46	第46名	1	1	1	0	9070			34900																																																			
47	第47名	1	1	1	0	9020			34800																																																			
48	第48名	1	1	1	0	8970			34700																																																			
49	第49名	1	1	1	0	8920			34600																																																			
50	第50名	1	1	1	0	8880			34500																																																			
51	第51名	1	1	1	0	8850			34450																																																			
52	第52名	1	1	1	0	8820			34400																																																			
53	第53名	1	1	1	0	8790			34350																																																			
54	第54名	1	1	1	0	8770			34300																																																			
55	第55名	1	1	1	0	8740			34250																																																			
56	第56名	1	1	1	0	8710			34200																																																			
57	第57名	1	1	1	0	8690			34150																																																			
58	第58名	1	1	1	0	8660			34100																																																			
59	第59名	1	1	1	0	8630			34050																																																			
60	第60名	1	1	1	0	8610			34000																																																			
61	第61名	1	1	1	0	8580			33950																																																			
62	第62名	1	1	1	0	8550			33900																																																			
