Level	Desc	IsSave	IsSync	OverlayDay	AutoGive	FightingSpirit	Exp	Energy	Silver	Prestige	Item1	Item1AmountMin	Item1AmountMax	Item1Rate	Item1TimeOut	Item2	Item2AmountMin	Item2AmountMax	Item2Rate	Item2TimeOut	Item3	Item3AmountMin	Item3AmountMax	Item3Rate	Item3TimeOut	Item4	Item4AmountMin	Item4AmountMax	Item4Rate	Item4TimeOut	Item5	Item5AmountMin	Item5AmountMax	Item5Rate	Item5TimeOut	Item6	Item6AmountMin	Item6AmountMax	Item6Rate	Item6TimeOut	Item7	Item7AmountMin	Item7AmountMax	Item7Rate	Item7TimeOut	Item8	Item8AmountMin	Item8AmountMax	Item8Rate	Item8TimeOut	Item9	Item9AmountMin	Item9AmountMax	Item9Rate	Item9TimeOut	Item10	Item10AmountMin	Item10AmountMax	Item10Rate	Item10TimeOut
宝箱id（宝箱的exparam1)	奖励备注，供理解	是否存盘	是否发送客户端	累计天数	是否直接领取	战魂	经验	真气	银两	精魄					分钟为单位，道具到期时间																																													
1	测试宝箱奖励	0	0	0	1				100		18,1,22,0	10	10	100		18,1,213,0	1	1	100																																									
2	[圆月弯刀]青铜宝箱	0	0	0	1						18,2,1,2	1	1	100		18,2,2,1	1	1	100		18,2,3,2	1	1	100		18,2,4,1	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,154,0	1	1	100		18,1,159,0	1	1	100		18,1,168,0	1	1	100						
3	[圆月弯刀]白银宝箱	0	0	0	1						18,2,1,2	1	1	100		18,2,2,2	1	1	100		18,2,3,2	1	1	100		18,2,4,2	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,154,0	1	1	100		18,1,160,0	1	1	100		18,1,168,0	1	1	100						
4	[圆月弯刀]黄金宝箱	0	0	0	1						18,2,1,3	1	1	100		18,2,2,2	1	1	100		18,2,3,2	1	1	100		18,2,4,2	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,155,0	1	1	100		18,1,160,0	1	1	100		18,1,168,0	1	1	100						
5	[鲁大深]青铜宝箱	0	0	0	1						18,2,1,2	1	1	100		18,2,2,1	1	1	100		18,2,3,2	1	1	100		18,2,4,1	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,154,0	1	1	100		18,1,159,0	1	1	100		18,1,168,0	1	1	100						
6	[鲁大深]白银宝箱	0	0	0	1						18,2,1,2	1	1	100		18,2,2,2	1	1	100		18,2,3,2	1	1	100		18,2,4,2	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,154,0	1	1	100		18,1,160,0	1	1	100		18,1,168,0	1	1	100						
7	[鲁大深]黄金宝箱	0	0	0	1						18,2,1,3	1	1	100		18,2,2,2	1	1	100		18,2,3,2	1	1	100		18,2,4,2	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,155,0	1	1	100		18,1,160,0	1	1	100		18,1,168,0	1	1	100						
8	[魔僧]青铜宝箱	0	0	0	1						18,2,1,2	1	1	100		18,2,2,1	1	1	100		18,2,3,2	1	1	100		18,2,4,1	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,154,0	1	1	100		18,1,159,0	1	1	100		18,1,168,0	1	1	100						
9	[魔僧]白银宝箱	0	0	0	1						18,2,1,2	1	1	100		18,2,2,2	1	1	100		18,2,3,2	1	1	100		18,2,4,2	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,154,0	1	1	100		18,1,160,0	1	1	100		18,1,168,0	1	1	100						
10	[魔僧]黄金宝箱	0	0	0	1						18,2,1,3	1	1	100		18,2,2,2	1	1	100		18,2,3,2	1	1	100		18,2,4,2	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,155,0	1	1	100		18,1,160,0	1	1	100		18,1,168,0	1	1	100						
11	[武痴]青铜宝箱	0	0	0	1						18,2,1,2	1	1	100		18,2,2,1	1	1	100		18,2,3,2	1	1	100		18,2,4,1	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,154,0	1	1	100		18,1,159,0	1	1	100		18,1,168,0	1	1	100						
12	[武痴]白银宝箱	0	0	0	1						18,2,1,2	1	1	100		18,2,2,2	1	1	100		18,2,3,2	1	1	100		18,2,4,2	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,154,0	1	1	100		18,1,160,0	1	1	100		18,1,168,0	1	1	100						
13	[武痴]黄金宝箱	0	0	0	1						18,2,1,3	1	1	100		18,2,2,2	1	1	100		18,2,3,2	1	1	100		18,2,4,2	1	1	100		18,2,5,1	1	1	100		18,1,150,0	1	1	100		18,1,155,0	1	1	100		18,1,160,0	1	1	100		18,1,168,0	1	1	100						
14	20级关卡噩梦宝箱	0	0	0	1						18,1,22,0	50	50	100		18,1,213,0	1	2	100		24,5,1,0	2	3	100		24,2,8,0	1	4	50																															
15	20级关卡地狱宝箱	0	0	0	1						18,1,22,0	70	70	100		18,1,213,0	2	3	100		24,5,1,0	4	5	100		24,1,1,0	1	1	30																															
16	40级关卡噩梦宝箱	0	0	0	1						18,1,22,0	100	100	100																																														
17	40级关卡地狱宝箱	0	0	0	1						18,1,22,0	120	120	100																																														
18	60级关卡噩梦宝箱	0	0	0	1						18,1,22,0	150	150	100																																														
19	60级关卡地狱宝箱	0	0	0	1						18,1,22,0	200	200	100																																														
20	80级关卡噩梦宝箱	0	0	0	1						18,1,22,0	250	250	100																																														
21	80级关卡地狱宝箱	0	0	0	1						18,1,22,0	300	300	100																																														
25	1000声望包	0	0	0	1					1000																																																		
30	20级多人困难宝箱	0	0	0	1						18,1,22,0	50	50	100		18,1,30,0	2	6	40		18,1,31,0	1	2	40																																				
31	30级多人困难宝箱	0	0	0	1						18,1,22,0	100	100	100		18,1,30,0	3	7	40		18,1,31,0	2	3	40																																				
32	40级多人困难宝箱	0	0	0	1						18,1,22,0	150	150	100		18,1,30,0	4	8	40		18,1,31,0	3	4	40																																				
33	50级多人困难宝箱	0	0	0	1						18,1,22,0	200	200	100		18,1,30,0	9	10	40		18,1,31,0	4	5	40																																				
34	60级多人困难宝箱	0	0	0	1						18,1,22,0	250	250	100		18,1,30,0	11	12	40		18,1,31,0	5	6	40																																				
50	银两	0	0	0	1				50																																																			
51	银两	0	0	0	1				1000																																																			
52	银两	0	0	0	1				10000																																																			
53	银两	0	0	0	1				20000																																																			
100	30级至尊属性箱	0	0	0	1						18,1,152,0	6	6	100		18,1,155,0	6	6	100		18,1,158,0	6	6	100		18,1,161,0	6	6	100		18,1,164,0	6	6	100		18,1,167,0	6	6	100		18,1,170,0	6	6	100																
101	40级至尊属性箱	0	0	0	1						18,1,152,0	8	8	100		18,1,155,0	8	8	100		18,1,158,0	8	8	100		18,1,161,0	8	8	100		18,1,164,0	8	8	100		18,1,167,0	8	8	100		18,1,170,0	8	8	100																
102	50级至尊属性箱	0	0	0	1						18,1,152,0	10	10	100		18,1,155,0	10	10	100		18,1,158,0	10	10	100		18,1,161,0	10	10	100		18,1,164,0	10	10	100		18,1,167,0	10	10	100		18,1,170,0	10	10	100																
103	60级至尊属性箱	0	0	0	1						18,1,152,0	12	12	100		18,1,155,0	12	12	100		18,1,158,0	12	12	100		18,1,161,0	12	12	100		18,1,164,0	12	12	100		18,1,167,0	12	12	100		18,1,170,0	12	12	100																
200	低级银两包	0	0	0	1				5000																																																			
201	中级银两包	0	0	0	1				10000																																																			
202	高级银两包	0	0	0	1				30000																																																			
203	特级银两包	0	0	0	1				100000																																																			
205	低级真气包	0	0	0	1			500																																																				
206	中级真气包	0	0	0	1			1000																																																				
207	高级真气包	0	0	0	1			3000																																																				
208	特级真气包	0	0	0	1			6000																																																				
210	低级战魂包	0	0	0	1	500																																																						
211	中级战魂包	0	0	0	1	1000																																																						
212	高级战魂包	0	0	0	1	3000																																																						
213	特级战魂包	0	0	0	1	6000																																																						
215	低级精魄包	0	0	0	1					10																																																		
216	中级精魄包	0	0	0	1					50																																																		
217	高级精魄包	0	0	0	1					100																																																		
218	特级精魄包	0	0	0	1					200																																																		
220	战神无双战魂包	0	0	0	1	100																																																						
221	冠军馈赠宝箱（宝石）	0	0	0	1						18,2,1,2	1	1	100		18,2,3,2	1	1	20		18,2,4,2	1	1	20																																				
222	冠军馈赠宝箱（属性丹）	0	0	0	1						18,1,154,0	1	2	100		18,1,157,0	1	2	100		18,1,160,0	1	2	100																																				
230	[蛮荒之地boss]属性丹箱子	0	0	0	1						18,1,151,0	2	2	100		18,1,154,0	2	2	100		18,1,157,0	2	2	100		18,1,160,0	1	1	50		18,1,163,0	1	1	50		18,1,166,0	1	1	50		18,1,169,0	1	1	50																
240	[战宝堂一层]属性丹宝箱	0	0	0	1						18,1,151,0	1	1	100		18,1,163,0	1	2	100		18,1,166,0	1	2	100		18,1,169,0	1	1	100																															
241	[战宝堂一层]宝石箱子	0	0	0	1						18,2,2,2	1	1	100		18,2,5,2	1	1	50		18,2,6,2	1	1	30		18,2,7,2	1	1	20																															
242	[战宝堂二层]属性丹宝箱	0	0	0	1						18,1,151,0	1	1	100		18,1,163,0	1	2	100		18,1,166,0	1	2	100		18,1,169,0	1	1	100																															
243	[战宝堂二层]宝石箱子	0	0	0	1						18,2,2,2	1	1	100		18,2,5,2	1	1	50		18,2,6,2	1	1	30		18,2,7,2	1	1	20																															
244	[战宝堂三层]属性丹宝箱	0	0	0	1						18,1,151,0	1	1	100		18,1,163,0	1	2	100		18,1,166,0	1	2	100		18,1,169,0	1	1	100																															
245	[战宝堂三层]宝石箱子	0	0	0	1						18,2,2,2	1	1	100		18,2,5,2	1	1	50		18,2,6,2	1	1	30		18,2,7,2	1	1	20																															
250	神霸宝石金箱	0	0	0	1						18,2,1,3	1	1	100		18,2,2,3	1	1	100		18,2,3,3	1	1	100		18,2,4,3	1	1	100		18,2,5,3	1	1	100		18,2,6,3	1	1	100		18,2,7,3	1	1	100																
251	神霸属性金箱	0	0	0	1						18,1,151,0	19	19	100		18,1,154,0	19	19	100		18,1,157,0	19	19	100		18,1,160,0	19	19	100		18,1,163,0	19	19	100		18,1,166,0	19	19	100		18,1,169,0	19	19	100																
252	神霸宝石银箱	0	0	0	1						18,2,1,3	1	1	100		18,2,2,3	1	1	50		18,2,3,3	1	1	20		18,2,4,3	1	1	10		18,2,5,3	1	1	10		18,2,6,3	1	1	10		18,2,7,3	1	1	10																
253	神霸属性银箱	0	0	0	1						18,1,151,0	8	8	100		18,1,154,0	8	8	100		18,1,157,0	8	8	100		18,1,160,0	8	8	100		18,1,163,0	8	8	100		18,1,166,0	8	8	100		18,1,169,0	8	8	100																
300	碎片大礼包	0	0	0	1						18,1,550,0	90	90	100		18,1,551,0	90	90	100		18,1,552,0	90	90	100		18,1,553,0	90	90	100																															
