Level	Desc	IsSave	IsSync	OverlayDay	AutoGive	FightingSpirit	Exp	Energy	Silver	Prestige	Item1	Item1AmountMin	Item1AmountMax	Item1Rate	Item1TimeOut	Item2	Item2AmountMin	Item2AmountMax	Item2Rate	Item2TimeOut	Item3	Item3AmountMin	Item3AmountMax	Item3Rate	Item3TimeOut	Item4	Item4AmountMin	Item4AmountMax	Item4Rate	Item4TimeOut	Item5	Item5AmountMin	Item5AmountMax	Item5Rate	Item5TimeOut	Item6	Item6AmountMin	Item6AmountMax	Item6Rate	Item6TimeOut	Item7	Item7AmountMin	Item7AmountMax	Item7Rate	Item7TimeOut	Item8	Item8AmountMin	Item8AmountMax	Item8Rate	Item8TimeOut	Item9	Item9AmountMin	Item9AmountMax	Item9Rate	Item9TimeOut	Item10	Item10AmountMin	Item10AmountMax	Item10Rate	Item10TimeOut
名次	奖励备注，供理解	是否存盘	是否发送客户端	累计天数	是否直接领取	战魂	经验	Energy	银两	声望																																																		
1		1	1	100	1						18,1,30,0	5	5	100		18,2,2,1	1	1	100		18,1,500,0	1	1	100																																				
2		1	1	100	1			10000			18,1,615,0	1	1	100		18,1,628,0	1	1	100																																									
3		1	1	100	1				100000		18,1,150,0	1	1	100		18,1,500,0	1	1	100																																									
4		1	1	100	1						24,15,1,0	1	1	100		18,1,628,0	1	1	100		18,1,151,0	1	1	100																																				
5		1	1	100	1				50000		24,5,1,0	5	5	100		18,1,500,0	1	1	100																																									
6		1	1	100	1				100000		24,5,1,0	10	10	100		18,1,628,0	1	1	100																																									
7		1	1	100	1			5000			18,2,4,2	1	1	100		18,1,30,0	5	5	100																																									
8		1	1	100	1			10000			18,2,4,3	1	1	100		18,1,30,0	10	10	100																																									
9		1	1	100	1						24,5,1,0	5	5	100		18,1,150,0	1	1	100		18,2,6,1	1	1	100																																				
10		1	1	100	1						24,5,1,0	10	10	100		18,1,160,0	1	1	100		18,2,6,2	1	1	100																																				
11		1	1	100	1						18,1,500,0	1	1	100		18,1,153,0	1	1	100		18,2,1,1	1	1	100																																				
12		1	1	100	1						18,1,616,0	1	1	100		18,1,154,0	1	1	100		18,2,1,2	1	1	100																																				
13		1	1	100	1						18,1,500,0	1	1	100		18,1,157,0	1	1	100		18,2,4,2	1	1	100																																				
14		1	1	100	1						24,16,1,0	1	1	100		18,1,158,0	1	1	100		18,2,4,3	1	1	100																																				
