Level	Desc	IsSave	IsSync	OverlayDay	AutoGive	FightingSpirit	Exp	Energy	Silver	Prestige	Item1	Item1AmountMin	Item1AmountMax	Item1Rate	Item1TimeOut	Item2	Item2AmountMin	Item2AmountMax	Item2Rate	Item2TimeOut	Item3	Item3AmountMin	Item3AmountMax	Item3Rate	Item3TimeOut	Item4	Item4AmountMin	Item4AmountMax	Item4Rate	Item4TimeOut	Item5	Item5AmountMin	Item5AmountMax	Item5Rate	Item5TimeOut	Item6	Item6AmountMin	Item6AmountMax	Item6Rate	Item6TimeOut	Item7	Item7AmountMin	Item7AmountMax	Item7Rate	Item7TimeOut	Item8	Item8AmountMin	Item8AmountMax	Item8Rate	Item8TimeOut	Item9	Item9AmountMin	Item9AmountMax	Item9Rate	Item9TimeOut	Item10	Item10AmountMin	Item10AmountMax	Item10Rate	Item10TimeOut
等级	奖励备注，供理解	是否存盘	是否同步	累计天数	是否直接领取	战魂	经验	真气	银两	声望					道具过期时间（以分钟为单位）										道具过期时间（以分钟为单位）																																			
10	10级升级礼包	1	1	5	0			5000	9000		18,1,22,0	80	80	100		18,1,30,0	5	5	100		1,13,9,1	1	1	100	20	18,1,213,0	3	3	100																															
20	20级升级礼包	1	1	5	0			10000	10000		18,1,22,0	140	140	100		18,1,213,0	3	3	100		24,2,8,0	1	1	100																																				
30	30级升级礼包	1	1	5	0			20000	25000		18,1,22,0	200	200	100		18,1,213,0	3	3	100																																									
40	40级升级礼包	1	1	5	0			20000	27000		18,1,22,0	260	260	100																																														
50	50级升级礼包	1	1	5	0			20000	20000		18,1,22,0	320	320	100																																														
60	60级升级礼包	1	1	5	0			20000	20000		18,1,22,0	380	380	100																																														
1111	全民冲级第1名奖励	1	1	5	0			100000			18,1,626,0	1	1	100		18,2,2,5	2	2	100		18,1,617,0	1	1	100		18,1,629,0	1	1	100		18,1,633,0	1	1	100																										
1112	全民冲级第2到3名奖励	1	1	5	0			50000			18,1,625,0	1	1	100		18,1,616,0	1	1	100		18,1,634,0	1	1	100																																				
1113	全民冲级第4到10名奖励	1	1	5	0			20000			18,2,2,2	1	1	100		18,1,630,0	1	1	100		18,1,635,0	1	1	100																																				
1121	万兽之王第1名奖励	1	1	5	0				500000		24,29,1,0	1	1	100		18,2,3,5	2	2	100		18,5,42,0	1	1	100		18,1,629,0	1	1	100		18,1,636,0	1	1	100																										
1122	万兽之王第2到3名奖励	1	1	5	0				200000		24,23,1,0	1	1	100		18,5,41,0	1	1	100		18,1,637,0	1	1	100																																				
1123	万兽之王第4到10名奖励	1	1	5	0						24,19,1,0	1	1	100		18,5,40,0	1	1	100		18,1,630,0	1	1	100		18,1,638,0	1	1	100																															
1131	竞技争锋第1名奖励	1	1	5	0				500000		18,1,618,0	1	1	100		18,2,1,5	2	2	100		24,5,1,0	100	100	100		18,1,629,0	1	1	100		18,1,639,0	1	1	100																										
1132	竞技争锋第2到3名奖励	1	1	5	0						18,1,617,0	1	1	100		24,5,1,0	50	50	100		18,1,630,0	1	1	100		18,1,640,0	1	1	100																															
1133	竞技争锋第4到10名奖励	1	1	5	0				200000		18,1,616,0	1	1	100		24,5,1,0	30	30	100		18,1,641,0	1	1	100																																				
1141	绝世大神第1名奖励	1	1	5	0			100000			18,1,627,0	1	1	100		18,2,4,5	2	2	100		18,1,30,0	100	100	100		18,1,630,0	1	1	100		18,1,645,0	1	1	100																										
1142	绝世大神第2到3名奖励	1	1	5	0			50000			18,2,4,4	2	2	100		18,1,30,0	50	50	100		18,1,646,0	1	1	100																																				
1143	绝世大神第4到10名奖励	1	1	5	0			20000			18,2,4,3	2	2	100		18,1,30,0	30	30	100		18,1,646,0	1	1	100																																				
1151	无敌八卦第1名奖励	1	1	5	0				500000		24,5,1,0	100	100	100		18,5,42,0	1	1	100		18,2,6,5	2	2	100		18,1,630,0	1	1	100		18,1,642,0	1	1	100																										
1152	无敌八卦第2到3名奖励	1	1	5	0						24,5,1,0	50	50	100		18,5,41,0	1	1	100		18,2,6,4	2	2	100		18,1,643,0	1	1	100																															
1153	无敌八卦第4到10名奖励	1	1	5	0						24,5,1,0	30	30	100		18,5,40,0	1	1	100		18,2,6,3	2	2	100		18,1,644,0	1	1	100																															
1161	斩妖伐魔第1名奖励	1	1	5	0						18,1,619,0	1	1	100		18,2,7,5	2	2	100		18,5,42,0	1	1	100		18,1,262,0	20	20	100		18,1,630,0	1	1	100		18,1,648,0	1	1	100																					
1162	斩妖伐魔第2到3名奖励	1	1	5	0						18,1,618,0	1	1	100		18,2,7,4	2	2	100		18,5,41,0	1	1	100		18,1,649,0	1	1	100																															
1163	斩妖伐魔第4到10名奖励	1	1	5	0						18,1,617,0	1	1	100		18,2,7,3	2	2	100		18,5,40,0	1	1	100		18,1,650,0	1	1	100																															
1171	战神无双第1名奖励	1	1	5	0				500000		24,28,1,0	1	1	100		18,1,620,0	1	1	100		18,1,262,0	20	20	100		18,1,265,0	10	10	100		18,1,639,0	1	1	100																										
1172	战神无双第2到3名奖励	1	1	5	0						24,25,1,0	1	1	100		18,1,262,0	10	10	100		18,1,265,0	5	5	100		18,1,640,0	1	1	100																															
1173	战神无双第4到10名奖励	1	1	5	0						24,20,1,0	1	1	100		18,1,262,0	5	5	100		18,1,265,0	2	2	100		18,1,641,0	1	1	100																															
1181	首充礼包	1	1	5	0						1,13,8,1	1	1	100	4320	18,1,245,0	1	1	100		24,2,8,0	1	1	100		18,1,213,0	10	10	100		18,1,283,0	1	1	100		18,2,2,3	1	1	100																					
