Level	Percent
角色等级	给经验百分比（*100，500就是5%）
1	2000
2	2000
3	2000
4	2000
5	2000
6	2000
7	2000
8	2000
9	2000
10	2000
11	2000
12	2000
13	2000
14	2000
15	2000
16	2000
17	2000
18	2000
19	2000
20	2000
21	2000
22	2000
23	2000
24	2000
25	2000
26	2000
27	2000
28	2000
29	2000
30	2000
31	2000
32	2000
33	2000
34	2000
35	2000
36	2000
37	2000
38	2000
39	2000
40	2000
41	2000
42	2000
43	2000
44	2000
45	2000
46	2000
47	2000
48	2000
49	2000
50	2000
51	2000
52	2000
53	2000
54	2000
55	2000
56	2000
57	2000
58	2000
59	2000
60	2000
