Level	Percent
角色等级	给经验百分比（*100，500就是5%）
1	4166.666667
2	4166.666667
3	4166.666667
4	4166.666667
5	4166.666667
6	4166.666667
7	4166.666667
8	4166.666667
9	4166.666667
10	111.1111111
11	111.1111111
12	111.1111111
13	111.1111111
14	111.1111111
15	111.1111111
16	111.1111111
17	111.1111111
18	111.1111111
19	111.1111111
20	111.1111111
21	92.59259259
22	79.36507937
23	69.44444444
24	61.72839506
25	55.55555556
26	44.44444444
27	37.03703704
28	31.74603175
29	27.77777778
30	24.69135802
31	15.87301587
32	11.11111111
33	8.547008547
34	6.944444444
35	5.847953216
36	4.444444444
37	3.703703704
38	3.174603175
39	2.777777778
40	2.469135802
41	1.851851852
42	1.587301587
43	1.388888889
44	1.234567901
45	1.111111111
46	0.925925926
47	0.793650794
48	0.694444444
49	0.617283951
50	0.555555556
51	0.462962963
52	0.396825397
53	0.347222222
54	0.308641975
55	0.277777778
56	0.222222222
57	0.185185185
58	0.158730159
59	0.138888889
60	0.12345679
61	0.111111111
62	0.101010101
63	0.092592593
64	0.085470085
65	0.079365079
66	0.074074074
67	0.069444444
68	0.065359477
69	0.061728395
70	0.058479532
71	0.055555556
72	0.052910053
73	0.050505051
74	0.048309179
75	0.046296296
76	0.044444444
77	0.042735043
78	0.041152263
79	0.03968254
80	0.038314176
