Level	Percent
角色等级	给经验百分比（*100，500就是5%）
1	8000
2	8000
3	8000
4	8000
5	8000
6	8000
7	8000
8	8000
9	8000
10	8000
11	8000
12	8000
13	8000
14	8000
15	8000
16	8000
17	8000
18	8000
19	8000
20	8000
21	8000
22	8000
23	8000
24	8000
25	8000
26	8000
27	8000
28	8000
29	8000
30	8000
31	8000
32	8000
33	8000
34	8000
35	6000
36	6000
37	6000
38	4000
39	4000
40	3600
41	3600
42	3000
43	3000
44	3000
45	3000
46	3000
47	3000
48	3000
49	3000
50	3000
51	3000
52	3000
53	3000
54	3000
55	3000
56	3000
57	3000
58	3000
59	3000
60	3000
61	3000
62	3000
63	3000
64	3000
65	3000
66	3000
67	3000
68	3000
69	3000
70	3000
71	3000
72	3000
73	3000
74	3000
75	3000
76	3000
77	3000
78	3000
79	3000
80	3000
81	3000
82	3000
83	3000
84	3000
85	3000
86	3000
87	3000
88	3000
89	3000
90	3000
91	3000
92	3000
93	3000
94	3000
95	3000
96	3000
97	3000
98	3000
99	3000
100	3000
101	3000
102	3000
103	3000
104	3000
105	3000
106	3000
107	3000
108	3000
109	3000
110	3000
111	3000
112	3000
113	3000
114	3000
115	3000
116	3000
117	3000
118	3000
119	3000
120	3000
