InstanceId	InstanceLevel	SlotNum	Type	Value
100	1	1	1	18,1,22,0
100	1	2	2	100
100	1	3	4	100
101	1	1	2	18,1,22,0
101	1	2	3	100
101	1	3	2	100
102	1	1	3	18,1,22,0
102	1	2	2	100
102	8	1	3	100
103	8	2	2	18,1,22,0
103	8	1	4	100
103	9	2	3	100
104	9	1	2	100
104	9	2	4	100
104	10	1	3	100
105	10	2	2	100
105	10	1	4	100
105	11	2	3	100
106	11	1	2	100
106	11	2	4	100
106	14	1	3	100
107	14	2	2	100
107	14	1	4	100
107	14	2	3	100
108	14	1	2	100
108	14	2	4	100
108	15	1	3	100
109	15	2	2	100
109	15	1	4	100
109	16	2	3	100
110	16	1	2	100
110	16	2	4	100
110	17	1	3	2250
111	17	2	2	220
111	17	3	4	55
111	18	1	3	2500
112	18	2	2	240
112	18	3	4	60
112	19	1	3	2650
113	19	2	2	260
113	19	3	4	65
113	19	1	3	2650
114	19	2	2	260
114	19	3	4	65
114	20	1	3	2500
115	20	2	2	320
115	20	3	4	80
115	20	1	3	2500
173	20	2	2	320
173	20	3	4	80
180	21	1	3	5000
180	21	2	2	360
180	21	3	4	90
174	22	1	3	5250
174	22	2	2	360
174	22	3	4	90
175	22	1	3	5250
175	22	2	2	360
175	22	3	4	90
176	24	1	3	5800
176	24	2	2	400
176	24	3	4	100
177	24	1	3	5800
177	24	2	2	400
177	24	3	4	100
178	26	1	3	6400
178	26	2	2	440
178	26	3	4	110
179	26	1	3	6400
179	26	2	2	440
179	26	3	4	110
181	26	1	3	6400
181	26	2	2	440
181	26	3	4	110
182	28	1	3	7000
182	28	2	2	480
182	28	3	4	120
183	28	1	3	7000
183	28	2	2	480
183	28	3	4	120
184	30	1	3	10000
184	30	2	2	640
184	30	3	4	160
185	30	1	3	10000
185	30	2	2	640
185	30	3	4	160
186	30	1	3	10000
186	30	2	2	640
186	30	3	4	160
187	30	1	3	10000
187	30	2	2	640
187	30	3	4	160
188	32	1	3	11500
188	32	2	2	720
188	32	3	4	180
189	32	1	3	11500
189	32	2	2	720
189	32	3	4	180
190	32	1	3	11500
190	32	2	2	720
190	32	3	4	180
191	34	1	3	12500
191	34	2	2	800
191	34	3	4	200
192	34	1	3	12500
192	34	2	2	800
192	34	3	4	200
193	34	1	3	12500
193	34	2	2	800
193	34	3	4	200
194	36	1	3	13300
194	36	2	2	880
194	36	3	4	220
195	38	1	3	14200
195	38	2	2	960
195	38	3	4	240
196	38	1	3	14200
196	38	2	2	960
196	38	3	4	240
197	40	1	3	15600
197	40	2	2	1160
197	40	3	4	290
198	40	1	3	15600
198	40	2	2	1160
198	40	3	4	290
199	40	1	3	15600
199	40	2	2	1160
199	40	3	4	290
200	42	1	3	16400
200	42	2	2	1200
200	42	3	4	300
201	42	1	3	16400
201	42	2	2	1200
201	42	3	4	300
202	42	1	3	16400
202	42	2	2	1200
202	42	3	4	300
203	42	1	3	16400
203	42	2	2	1200
203	42	3	4	300
204	44	1	3	17200
204	44	2	2	1240
204	44	3	4	310
205	44	1	3	17200
205	44	2	2	1240
205	44	3	4	310
206	44	1	3	17200
206	44	2	2	1240
206	44	3	4	310
207	44	1	3	17200
207	44	2	2	1240
207	44	3	4	310
208	46	1	3	18000
208	46	2	2	1280
208	46	3	4	320
209	46	1	3	18000
209	46	2	2	1280
209	46	3	4	320
210	46	1	3	18000
210	46	2	2	1280
210	46	3	4	320
211	48	1	3	20000
211	48	2	2	1320
211	48	3	4	330
212	48	1	3	20000
212	48	2	2	1320
212	48	3	4	330
213	48	1	3	20000
213	48	2	2	1320
213	48	3	4	330
214	48	1	3	20000
214	48	2	2	1320
214	48	3	4	330
215	50	1	3	24000
215	50	2	2	1560
215	50	3	4	390
216	50	1	3	24000
216	50	2	2	1560
216	50	3	4	390
217	50	1	3	24000
217	50	2	2	1560
217	50	3	4	390
218	50	1	3	24000
218	50	2	2	1560
218	50	3	4	390
219	52	1	3	25500
219	52	2	2	1680
219	52	3	4	420
220	52	1	3	25500
220	52	2	2	1680
220	52	3	4	420
221	52	1	3	25500
221	52	2	2	1680
221	52	3	4	420
222	54	1	3	26500
222	54	2	2	1800
222	54	3	4	450
223	54	1	3	26500
223	54	2	2	1800
223	54	3	4	450
224	54	1	3	26500
224	54	2	2	1800
224	54	3	4	450
225	54	1	3	26500
225	54	2	2	1800
225	54	3	4	450
226	56	1	3	27600
226	56	2	2	1920
226	56	3	4	480
227	56	1	3	27600
227	56	2	2	1920
227	56	3	4	480
228	56	1	3	27600
228	56	2	2	1920
228	56	3	4	480
229	58	1	3	28400
229	58	2	2	2040
229	58	3	4	510
230	58	1	3	28400
230	58	2	2	2040
230	58	3	4	510
231	58	1	3	28400
231	58	2	2	2040
231	58	3	4	510
