ModuleName	StageAwardName	LevelAwardName	Desc
LevelUp	levelup_stage.txt	levelup_level.txt	角色升级
pet_base	petbase_stage.txt	petbase_level.txt	神仙品级
pet_level	petlevel_stage.txt	petlevel_level.txt	神仙升级
pet_tactic	pettactic_stage.txt	pettactic_level.txt	神仙升阶
equip_enhance	enhance_stage.txt	enhance_level.txt	装备强化
equip_level	equip_stage.txt	equip_level.txt	装备升级
gem_level	gem_stage.txt	gem_level.txt	宝石等级
horse_level	horse_stage.txt	horse_level.txt	坐骑喂食幻化
diagrams_level	diagrams_stage.txt	diagrams_level.txt	炼挂
ExchangeMoney	ExchangeMoney_stage.txt	ExchangeMoney_level.txt	炼丹炉（元宝换银两真气）
equip_refine	refine_stage.txt	refine_level.txt	装备洗炼
initiativeskill	initiativeskill_stage.txt	initiativeskill_level.txt	主动技能升级
passiveskill	passiveskill_stage.txt	passiveskill_level.txt	被动技能升级
resistskill	resistskill_stage.txt	resistskill_level.txt	抗性技能升级
quizDouble	QuizDouble_stage.txt	QuizDouble_level.txt	答题双倍积分
quizSpirit	QuizSpirit_stage.txt	QuizSpirit_level.txt	答题直接给答案
PetIsland	PetIsland_stage.txt	PetIsland_level.txt	南天门召唤神仙
PetEquip	petequip_stage.txt	petequip_level.txt	神仙装备数值
pet_uprank	petuprank_stage.txt	petuprank_level.txt	神仙升阶数值
pet_upskill	petupskill_stage.txt	petupskill_level.txt	神仙技能升级数值
pet_blade	petblade_stage.txt	petblade_level.txt	变身阵法神仙加成数值
shenqi_jinkubang	jinkubang_stage.txt	jinkubang_level.txt	神器-金箍棒数值
shenqi_houyigong	houyigong_stage.txt	houyigong_level.txt	神器-后羿弓数值
shenqi_yujinping	yujinping_stage.txt	yujinping_level.txt	神器-玉净瓶数值
shenqi_rulaiyin	rulaiyin_stage.txt	rulaiyin_level.txt	神器-如来印数值
