StageID	MinLineNum	MaxLineNum
角色等级	开始行数	结束行数
1	3	542
2	3	542
3	3	542
4	3	542
5	3	542
6	3	542
7	3	542
8	3	542
9	3	542
10	3	542
11	3	542
12	3	542
13	3	542
14	3	542
15	3	542
16	3	542
17	3	542
18	3	542
19	3	542
20	3	542
21	3	542
22	3	542
23	3	542
24	3	542
25	3	542
26	3	542
27	3	542
28	3	542
29	3	542
30	3	542
31	3	542
32	3	542
33	3	542
34	3	542
35	3	542
36	3	542
37	3	542
38	3	542
39	3	542
40	3	542
41	3	542
42	3	542
43	3	542
44	3	542
45	3	542
46	3	542
47	3	542
48	3	542
49	3	542
50	3	542
51	3	542
52	3	542
53	3	542
54	3	542
55	3	542
56	3	542
57	3	542
58	3	542
59	3	542
60	3	542
