Level	Life	Ability	Attack	Defense	Hit	Dodge	Crit	Resist	Cost
坐骑等级	生命	免控	攻击	防御	命中	免伤	暴击	消耗幻化丹	消耗幻化果
1	1200	1	60	100	30	1			8
2	1626	2	80	134	35	2		1	32
3	2477	4	120	203	40	3		2	96
4	4192	6	200	341	45	4		5	192
5	17024	8	800	1376	50	5		10	384
6	38880	12	1800	3120	55	6		15	665
7	65760	16	3000	5240	60	8		20	1280
8	133440	20	6000	10560	65	10		30	2560
9	225600	24	10000	17733	70	14		40	5120
10	457600	28	20000	35733	75	18		50	8192
11	696000	32	30000	54000	80	22		60	13107
12	1176000	36	50000	90667	85	26		80	26214
