Level	Life	Ability	Attack	Defense	Hit	Dodge	Crit	Resist	Cost
幻化次数（代表第几轮第几次幻化）	生命	内力	攻击	防御	命中	闪避	暴击	抗暴	消耗幻化果
1	40	0	0	6	7	7	12	10	1
2	40	0	0	6	7	7	12	10	1
3	40	0	0	6	7	7	12	10	1
4	40	0	0	6	7	7	12	10	1
5	40	0	0	6	7	7	12	10	1
6	40	0	0	6	7	7	12	10	1
7	40	0	0	6	7	7	12	10	1
8	40	0	0	6	7	7	12	10	1
9	40	0	0	6	7	7	12	10	1
10	40	0	0	6	7	7	12	10	1
11	40	0	0	7	7	7	14	12	1
1	45	0	3	7	45	45	14	12	1
2	45	0	3	7	45	45	14	12	1
3	45	0	3	7	45	45	14	12	1
4	45	0	3	7	45	45	14	12	1
5	45	0	3	7	45	45	14	12	1
6	45	0	3	7	45	45	14	12	1
7	45	0	3	7	45	45	14	12	1
8	45	0	3	7	45	45	14	12	1
9	45	0	3	7	45	45	14	12	1
10	45	0	3	7	45	45	14	12	1
11	45	0	3	7	45	45	14	12	1
12	45	0	3	7	45	45	14	12	1
13	45	0	3	7	45	45	14	12	1
14	45	0	3	7	45	45	14	12	1
15	45	0	3	7	45	45	14	12	1
16	45	0	3	7	45	45	14	12	1
17	45	0	3	7	45	45	14	12	1
18	45	0	3	7	45	45	14	12	1
19	45	0	3	7	45	45	14	12	1
20	45	0	3	7	45	45	14	12	1
21	45	0	5	7	45	45	14	12	1
