Level	Life	Ability	Attack	Defense	Hit	Dodge	Crit	Resist	Cost
技能等级	生命	内力	攻击	防御	命中	闪避	暴击	抗暴	消耗后羿弓碎片
1							2		
2							2		
3							2		
4							2		
5							2		
6							2		
7							2		
8							2		
9							2		
10							2		
11							2		
12							2		
13							2		
14							2		
15							2		
16							2		
17							2		
18							2		
19							2		
20							2		
21							2		
22							2		
23							2		
24							2		
25							2		
26							2		
27							2		
28							2		
29							2		
30							2		
31							2		
32							2		
33							2		
34							2		
35							2		
36							2		
37							2		
38							2		
39							2		
40							2		
41							2		
42							2		
43							2		
44							2		
45							2		
46							2		
47							2		
48							2		
49							2		
50							2		
51							4		
52							4		
53							4		
54							4		
55							4		
56							4		
57							4		
58							4		
59							4		
60							4		
61							4		
62							4		
63							4		
64							4		
65							4		
66							4		
67							4		
68							4		
69							4		
70							4		
71							4		
72							4		
73							4		
74							4		
75							4		
76							4		
77							4		
78							4		
79							4		
80							4		
81							4		
82							4		
83							4		
84							4		
85							4		
86							4		
87							4		
88							4		
89							4		
90							4		
91							4		
92							4		
93							4		
94							4		
95							4		
96							4		
97							4		
98							4		
99							4		
100							4		
101							4		
102							4		
103							4		
104							4		
105							4		
106							4		
107							4		
108							4		
109							4		
110							4		
111							4		
112							4		
113							4		
114							4		
115							4		
116							4		
117							4		
118							4		
119							4		
120							4		
121							4		
122							4		
123							4		
124							4		
125							4		
126							4		
127							4		
128							4		
129							4		
130							4		
131							4		
132							4		
133							4		
134							4		
135							4		
136							4		
137							4		
138							4		
139							4		
140							4		
141							4		
142							4		
143							4		
144							4		
145							4		
146							4		
147							4		
148							4		
149							4		
150							4		
151							6		
152							6		
153							6		
154							6		
155							6		
156							6		
157							6		
158							6		
159							6		
160							6		
161							6		
162							6		
163							6		
164							6		
165							6		
166							6		
167							6		
168							6		
169							6		
170							6		
171							6		
172							6		
173							6		
174							6		
175							6		
176							6		
177							6		
178							6		
179							6		
180							6		
181							6		
182							6		
183							6		
184							6		
185							6		
186							6		
187							6		
188							6		
189							6		
190							6		
191							6		
192							6		
193							6		
194							6		
195							6		
196							6		
197							6		
198							6		
199							6		
200							6		
201							6		
202							6		
203							6		
204							6		
205							6		
206							6		
207							6		
208							6		
209							6		
210							6		
211							6		
212							6		
213							6		
214							6		
215							6		
216							6		
217							6		
218							6		
219							6		
220							6		
221							6		
222							6		
223							6		
224							6		
225							6		
226							6		
227							6		
228							6		
229							6		
230							6		
231							6		
232							6		
233							6		
234							6		
235							6		
236							6		
237							6		
238							6		
239							6		
240							6		
241							6		
242							6		
243							6		
244							6		
245							6		
246							6		
247							6		
248							6		
249							6		
250							6		
251							6		
252							6		
253							6		
254							6		
255							6		
256							6		
257							6		
258							6		
259							6		
260							6		
261							6		
262							6		
263							6		
264							6		
265							6		
266							6		
267							6		
268							6		
269							6		
270							6		
271							6		
272							6		
273							6		
274							6		
275							6		
276							6		
277							6		
278							6		
279							6		
280							6		
281							6		
282							6		
283							6		
284							6		
285							6		
286							6		
287							6		
288							6		
289							6		
290							6		
291							6		
292							6		
293							6		
294							6		
295							6		
296							6		
297							6		
298							6		
299							6		
300							6		
301							8		
302							8		
303							8		
304							8		
305							8		
306							8		
307							8		
308							8		
309							8		
310							8		
311							8		
312							8		
313							8		
314							8		
315							8		
316							8		
317							8		
318							8		
319							8		
320							8		
321							8		
322							8		
323							8		
324							8		
325							8		
326							8		
327							8		
328							8		
329							8		
330							8		
331							8		
332							8		
333							8		
334							8		
335							8		
336							8		
337							8		
338							8		
339							8		
340							8		
341							8		
342							8		
343							8		
344							8		
345							8		
346							8		
347							8		
348							8		
349							8		
350							8		
351							8		
352							8		
353							8		
354							8		
355							8		
356							8		
357							8		
358							8		
359							8		
360							8		
361							8		
362							8		
363							8		
364							8		
365							8		
366							8		
367							8		
368							8		
369							8		
370							8		
371							8		
372							8		
373							8		
374							8		
375							8		
376							8		
377							8		
378							8		
379							8		
380							8		
381							8		
382							8		
383							8		
384							8		
385							8		
386							8		
387							8		
388							8		
389							8		
390							8		
391							8		
392							8		
393							8		
394							8		
395							8		
396							8		
397							8		
398							8		
399							8		
400							8		
401							8		
402							8		
403							8		
404							8		
405							8		
406							8		
407							8		
408							8		
409							8		
410							8		
411							8		
412							8		
413							8		
414							8		
415							8		
416							8		
417							8		
418							8		
419							8		
420							8		
421							8		
422							8		
423							8		
424							8		
425							8		
426							8		
427							8		
428							8		
429							8		
430							8		
431							8		
432							8		
433							8		
434							8		
435							8		
436							8		
437							8		
438							8		
439							8		
440							8		
441							8		
442							8		
443							8		
444							8		
445							8		
446							8		
447							8		
448							8		
449							8		
450							8		
451							8		
452							8		
453							8		
454							8		
455							8		
456							8		
457							8		
458							8		
459							8		
460							8		
461							8		
462							8		
463							8		
464							8		
465							8		
466							8		
467							8		
468							8		
469							8		
470							8		
471							8		
472							8		
473							8		
474							8		
475							8		
476							8		
477							8		
478							8		
479							8		
480							8		
481							8		
482							8		
483							8		
484							8		
485							8		
486							8		
487							8		
488							8		
489							8		
490							8		
491							8		
492							8		
493							8		
494							8		
495							8		
496							8		
497							8		
498							8		
499							8		
500							8		
501							10		
502							10		
503							10		
504							10		
505							10		
506							10		
507							10		
508							10		
509							10		
510							10		
511							10		
512							10		
513							10		
514							10		
515							10		
516							10		
517							10		
518							10		
519							10		
520							10		
521							10		
522							10		
523							10		
524							10		
525							10		
526							10		
527							10		
528							10		
529							10		
530							10		
531							10		
532							10		
533							10		
534							10		
535							10		
536							10		
537							10		
538							10		
539							10		
540							10		
541							10		
542							10		
543							10		
544							10		
545							10		
546							10		
547							10		
548							10		
549							10		
550							10		
551							10		
552							10		
553							10		
554							10		
555							10		
556							10		
557							10		
558							10		
559							10		
560							10		
561							10		
562							10		
563							10		
564							10		
565							10		
566							10		
567							10		
568							10		
569							10		
570							10		
571							10		
572							10		
573							10		
574							10		
575							10		
576							10		
577							10		
578							10		
579							10		
580							10		
581							10		
582							10		
583							10		
584							10		
585							10		
586							10		
587							10		
588							10		
589							10		
590							10		
591							10		
592							10		
593							10		
594							10		
595							10		
596							10		
597							10		
598							10		
599							10		
600							10		
601							10		
602							10		
603							10		
604							10		
605							10		
606							10		
607							10		
608							10		
609							10		
610							10		
611							10		
612							10		
613							10		
614							10		
615							10		
616							10		
617							10		
618							10		
619							10		
620							10		
621							10		
622							10		
623							10		
624							10		
625							10		
626							10		
627							10		
628							10		
629							10		
630							10		
631							10		
632							10		
633							10		
634							10		
635							10		
636							10		
637							10		
638							10		
639							10		
640							10		
641							10		
642							10		
643							10		
644							10		
645							10		
646							10		
647							10		
648							10		
649							10		
650							10		
651							10		
652							10		
653							10		
654							10		
655							10		
656							10		
657							10		
658							10		
659							10		
660							10		
661							10		
662							10		
663							10		
664							10		
665							10		
666							10		
667							10		
668							10		
669							10		
670							10		
671							10		
672							10		
673							10		
674							10		
675							10		
676							10		
677							10		
678							10		
679							10		
680							10		
681							10		
682							10		
683							10		
684							10		
685							10		
686							10		
687							10		
688							10		
689							10		
690							10		
691							10		
692							10		
693							10		
694							10		
695							10		
696							10		
697							10		
698							10		
699							10		
700							10		
701							10		
702							10		
703							10		
704							10		
705							10		
706							10		
707							10		
708							10		
709							10		
710							10		
711							10		
712							10		
713							10		
714							10		
715							10		
716							10		
717							10		
718							10		
719							10		
720							10		
721							10		
722							10		
723							10		
724							10		
725							10		
726							10		
727							10		
728							10		
729							10		
730							10		
731							10		
732							10		
733							10		
734							10		
735							10		
736							10		
737							10		
738							10		
739							10		
740							10		
741							10		
742							10		
743							10		
744							10		
745							10		
746							10		
747							10		
748							10		
749							10		
750							10		
10000							10		50
10001							50		100
10002							100		150
10003							300		200
10004							500		250
