StageID	MinLineNum	MaxLineNum
角色等级	开始行数	结束行数
1	3	3
2	3	4
3	3	5
4	3	6
5	3	7
6	3	8
7	3	9
8	3	10
9	3	11
10	3	12
11	3	13
12	3	14
13	3	15
14	3	16
15	3	17
16	3	18
17	3	19
18	3	20
19	3	21
20	3	22
21	3	23
22	3	24
23	3	25
24	3	26
25	3	27
26	3	28
27	3	29
28	3	30
29	3	31
30	3	32
31	3	33
32	3	34
33	3	35
34	3	36
35	3	37
36	3	38
37	3	39
38	3	40
39	3	41
40	3	42
41	3	43
42	3	44
43	3	45
44	3	46
45	3	47
46	3	48
47	3	49
48	3	50
49	3	51
50	3	52
51	3	53
52	3	54
53	3	55
54	3	56
55	3	57
56	3	58
57	3	59
58	3	60
59	3	61
60	3	62
