Level	Life	Ability	Attack	Defense	Hit	Dodge	Crit	Resist	Cost
技能等级	生命	内力	攻击	防御	命中	闪避	暴击	抗暴	消耗真气
1									150
2									200
3									250
4									300
5									350
6									400
7									450
8									500
9									550
10									600
11									650
12									700
13									750
14									800
15									850
16									950
17									1050
18									1150
19									1250
20									1350
21									1450
22									1550
23									1650
24									1750
25									1850
26									1950
27									2050
28									2150
29									2250
30									2350
31									2450
32									2550
33									2650
34									2750
35									2850
36									2950
37									3050
38									3150
39									3250
40									3350
41									10900
42									11365
43									11840
44									12325
45									12820
46									13325
47									13840
48									14365
49									14900
50									15445
51									16000
52									16565
53									17140
54									17725
55									18320
56									18925
57									19540
58									20165
59									20800
60									21445
