Level	Life	Ability	Attack	Defense	Hit	Dodge	Crit	Resist	Cost
神仙阶级	属性放大百分比								升阶丸
1	100								2
2	105								3
3	110								4
4	115								5
5	120								6
6	125								7
7	130								8
8	140								9
9	150								10
1	100								4
2	105								6
3	110								8
4	115								10
5	120								12
6	125								14
7	130								16
8	140								18
9	150								20
1	100								8
2	105								12
3	110								16
4	115								20
5	120								24
6	125								28
7	130								32
8	140								36
9	150								40
1	100								32
2	105								48
3	110								64
4	115								80
5	120								96
6	125								112
7	130								128
8	140								144
9	150								160
1	100								128
2	105								192
3	110								256
4	115								320
5	120								384
6	125								448
7	130								512
8	140								576
9	150								640
1	100								256
2	105								384
3	110								512
4	115								640
5	120								768
6	125								896
7	130								1024
8	140								1152
9	150								1280
