Level	Life	Ability	Attack	Defense	Hit	Dodge	Crit	Resist	Cost
技能等级	生命	内力	攻击	防御	命中	闪避	暴击	抗暴	消耗真气
1									100
2									500
3									565
4									640
5									725
6									820
7									925
8									1040
9									1165
10									1300
11									1445
12									1600
13									1765
14									1940
15									2125
16									2320
17									2525
18									2740
19									2965
20									3200
21									3445
22									3700
23									3965
24									4240
25									4525
26									4820
27									5125
28									5440
29									5765
30									6100
31									6445
32									6800
33									7165
34									7540
35									7925
36									8320
37									8725
38									9140
39									9565
40									10000
41									10445
42									10900
43									11365
44									11840
45									12325
46									12820
47									13325
48									13840
49									14365
50									14900
51									15445
52									16000
53									16565
54									17140
55									17725
56									18320
57									18925
58									19540
59									20165
60									11900
