Level	Life	Ability	Attack	Defense	Hit	Dodge	Crit	Resist	Cost
技能等级	生命	内力	攻击	防御	命中	闪避	暴击	抗暴	消耗玉净瓶碎片
1	75								
2	75								
3	75								
4	75								
5	75								
6	75								
7	75								
8	75								
9	75								
10	75								
11	75								
12	75								
13	75								
14	75								
15	75								
16	75								
17	75								
18	75								
19	75								
20	75								
21	75								
22	75								
23	75								
24	75								
25	75								
26	75								
27	75								
28	75								
29	75								
30	75								
31	75								
32	75								
33	75								
34	75								
35	75								
36	75								
37	75								
38	75								
39	75								
40	75								
41	75								
42	75								
43	75								
44	75								
45	75								
46	75								
47	75								
48	75								
49	75								
50	75								
51	150								
52	150								
53	150								
54	150								
55	150								
56	150								
57	150								
58	150								
59	150								
60	150								
61	150								
62	150								
63	150								
64	150								
65	150								
66	150								
67	150								
68	150								
69	150								
70	150								
71	150								
72	150								
73	150								
74	150								
75	150								
76	150								
77	150								
78	150								
79	150								
80	150								
81	150								
82	150								
83	150								
84	150								
85	150								
86	150								
87	150								
88	150								
89	150								
90	150								
91	150								
92	150								
93	150								
94	150								
95	150								
96	150								
97	150								
98	150								
99	150								
100	150								
101	150								
102	150								
103	150								
104	150								
105	150								
106	150								
107	150								
108	150								
109	150								
110	150								
111	150								
112	150								
113	150								
114	150								
115	150								
116	150								
117	150								
118	150								
119	150								
120	150								
121	150								
122	150								
123	150								
124	150								
125	150								
126	150								
127	150								
128	150								
129	150								
130	150								
131	150								
132	150								
133	150								
134	150								
135	150								
136	150								
137	150								
138	150								
139	150								
140	150								
141	150								
142	150								
143	150								
144	150								
145	150								
146	150								
147	150								
148	150								
149	150								
150	150								
151	225								
152	225								
153	225								
154	225								
155	225								
156	225								
157	225								
158	225								
159	225								
160	225								
161	225								
162	225								
163	225								
164	225								
165	225								
166	225								
167	225								
168	225								
169	225								
170	225								
171	225								
172	225								
173	225								
174	225								
175	225								
176	225								
177	225								
178	225								
179	225								
180	225								
181	225								
182	225								
183	225								
184	225								
185	225								
186	225								
187	225								
188	225								
189	225								
190	225								
191	225								
192	225								
193	225								
194	225								
195	225								
196	225								
197	225								
198	225								
199	225								
200	225								
201	225								
202	225								
203	225								
204	225								
205	225								
206	225								
207	225								
208	225								
209	225								
210	225								
211	225								
212	225								
213	225								
214	225								
215	225								
216	225								
217	225								
218	225								
219	225								
220	225								
221	225								
222	225								
223	225								
224	225								
225	225								
226	225								
227	225								
228	225								
229	225								
230	225								
231	225								
232	225								
233	225								
234	225								
235	225								
236	225								
237	225								
238	225								
239	225								
240	225								
241	225								
242	225								
243	225								
244	225								
245	225								
246	225								
247	225								
248	225								
249	225								
250	225								
251	225								
252	225								
253	225								
254	225								
255	225								
256	225								
257	225								
258	225								
259	225								
260	225								
261	225								
262	225								
263	225								
264	225								
265	225								
266	225								
267	225								
268	225								
269	225								
270	225								
271	225								
272	225								
273	225								
274	225								
275	225								
276	225								
277	225								
278	225								
279	225								
280	225								
281	225								
282	225								
283	225								
284	225								
285	225								
286	225								
287	225								
288	225								
289	225								
290	225								
291	225								
292	225								
