id	iconPath	iconIndex	awardId	desc	picName	minValue
1			1	充值100元（第1批）	cz_100	100
2			2	充值200元（第1批）	cz_200	200
3			3	充值500元（第1批）	cz_500	500
4			4	充值1000元（第1批）	cz_1000	1000
5			5	充值1500元（第1批）	cz_1500	1500
6			6	充值2000元（第1批）	cz_2000	2000
7			7	充值2500元（第1批）	cz_2500	2500
8			8	充值3000元（第1批）	cz_3000	3000
9			9	充值200元（第2批）	cz_200	200
10			10	充值300元（第2批）	cz_300	300
11			11	充值500元（第2批）	cz_500	500
12			12	充值1000元（第2批）	cz_1000	1000
13			13	充值1500元（第2批）	cz_1500	1500
14			14	充值2000元（第2批）	cz_2000	2000
15			15	充值2500元（第2批）	cz_2500	2500
16			16	充值3000元（第2批）	cz_3000	3000
