ID	Name	Desc	Persist	Group	Level	Position	Debuff	Category	Category1	Category2	SkillMagnification	Grow	K	GroundBuff	BuffDelayFrame	Stack	Precond	Sync	Save	Death	Plus	NeedAgree	BuffRelation	BuffRadius	BuffEffectNum	Etimer1	Etimer2	Etimer3	Etimer4	Etimer5	Etrigger1	Etrigger2	Etrigger3	Etrigger4	Etrigger5	IfUseSkillLv	EffectMapType
buffID	buff名字	buff描述	buff时间(-1代表永久，16为1秒),大概是特效的播放时间	"buff类
默认为0"	buff等级	"buff触发位置
0:对自己加
1:对敌人加"	"buff类别
1:其他有害buff,
2:一次性伤害
3:流血
4:控制
5:增益"	"buff叠加规则
同一类填相同id"	"当有相同buff再添加buff时的叠加规则
1:刷新buff时间
2:新来的强制替换
3:不替换，继续用原来buff
4:叠加剩余时间"	都填1	暂时无用	暂时无用	暂时无用	是否地面buffer	buff的延迟生效时间	叠加层数,填多点	"buff的前置条件判断
暂时无用"	"是否同步到客户端

如果fightskill填了TargetPendant1Id挂件特效，这里填0"	是否下线保存	死亡是否保留	"buff能否被点掉
暂时无用"	"是否需求确认
暂时无用"	"buff影响目标类型
1:自己
2:友方
3:敌人
4:队友"	buff影响范围	buff影响数量	效果参数	效果参数	效果参数	效果参数	效果参数	效果参数	效果参数	效果参数	效果参数	效果参数	暂时无用	生效的地图类型（对应scenelist.txt里的classname）表示只在某种场景内生效，不填表示所有场景生效
1	近单	主角技能buff	32	1	1	1	2	1	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	12										1	
3	近群1	主角技能buff	32	1	1	0	2	3	2	1	0	0	0	0		1	None()	1	0	0	0	0	1	0	1	9										1	
9	近群2	主角技能buff	24	1	1	1	2	9	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	5	10	13										1	
20	近群3	主角技能buff	24	1	1	1	2	20	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	1										1	
6	近控	主角技能buff	60	0	1	1	2	6	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	11										1	
2	远单	主角技能buff	32	0	1	1	2	2	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	1										1	
4	远群1	主角技能buff	40	0	1	1	2	4	2	1	0	0	0	0		1	None()	1	0	0	0	0	3	0	1	26										1	
19	远群2	主角技能buff	32	1	1	1	2	19	2	1	0	0	0	0		1	None()	0	0	0	0	0	3	5	10	25										1	
5	远控1	主角技能buff	16	0	1	1	2	5	2	1	0	0	0	1		1	None()	1	0	0	0	0	3	3	3	27										1	
