FactionId	RouteId	Level	Con	Str	Agi	Int	Spi
门派Id	路线Id	角色等级	体质	筋骨	身法	元气	精神
1	1	1	2	1	1	4	2
1	1	2	5	1	1	10	3
1	1	3	8	2	2	16	4
1	1	4	11	2	2	22	5
1	1	5	14	3	3	28	6
1	1	6	17	3	3	34	7
1	1	7	20	4	4	40	8
1	1	8	23	4	4	46	9
1	1	9	26	5	5	52	10
1	1	10	29	5	5	58	11
1	1	11	32	6	6	64	12
1	1	12	35	6	6	70	13
1	1	13	38	7	7	76	14
1	1	14	41	7	7	82	15
1	1	15	44	8	8	88	16
1	1	16	47	8	8	94	17
1	1	17	50	9	9	100	18
1	1	18	53	9	9	106	19
1	1	19	56	10	10	112	20
1	1	20	59	10	10	118	21
1	1	21	62	11	11	124	22
1	1	22	65	11	11	130	23
1	1	23	68	12	12	136	24
1	1	24	71	12	12	142	25
1	1	25	74	13	13	148	26
1	1	26	77	13	13	154	27
1	1	27	80	14	14	160	28
1	1	28	83	14	14	166	29
1	1	29	86	15	15	172	30
1	1	30	89	15	15	178	31
1	1	31	92	16	16	184	32
1	1	32	95	16	16	190	33
1	1	33	98	17	17	196	34
1	1	34	101	17	17	202	35
1	1	35	104	18	18	208	36
1	1	36	107	18	18	214	37
1	1	37	110	19	19	220	38
1	1	38	113	19	19	226	39
1	1	39	116	20	20	232	40
1	1	40	119	20	20	238	41
1	1	41	122	21	21	244	42
1	1	42	125	21	21	250	43
1	1	43	128	22	22	256	44
1	1	44	131	22	22	262	45
1	1	45	134	23	23	268	46
1	1	46	137	23	23	274	47
1	1	47	140	24	24	280	48
1	1	48	143	24	24	286	49
1	1	49	146	25	25	292	50
1	1	50	149	25	25	298	51
1	1	51	152	26	26	304	52
1	1	52	155	26	26	310	53
1	1	53	158	27	27	316	54
1	1	54	161	27	27	322	55
1	1	55	164	28	28	328	56
1	1	56	167	28	28	334	57
1	1	57	170	29	29	340	58
1	1	58	173	29	29	346	59
1	1	59	176	30	30	352	60
1	1	60	179	30	30	358	61
1	1	61	182	31	31	364	62
1	1	62	185	31	31	370	63
1	1	63	188	32	32	376	64
1	1	64	191	32	32	382	65
1	1	65	194	33	33	388	66
1	1	66	197	33	33	394	67
1	1	67	200	34	34	400	68
1	1	68	203	34	34	406	69
1	1	69	206	35	35	412	70
1	1	70	209	35	35	418	71
1	1	71	212	36	36	424	72
1	1	72	215	36	36	430	73
1	1	73	218	37	37	436	74
1	1	74	221	37	37	442	75
1	1	75	224	38	38	448	76
1	1	76	227	38	38	454	77
1	1	77	230	39	39	460	78
1	1	78	233	39	39	466	79
1	1	79	236	40	40	472	80
1	1	80	239	40	40	478	81
1	1	81	242	41	41	484	82
1	1	82	245	41	41	490	83
1	1	83	248	42	42	496	84
1	1	84	251	42	42	502	85
1	1	85	254	43	43	508	86
1	1	86	257	43	43	514	87
1	1	87	260	44	44	520	88
1	1	88	263	44	44	526	89
1	1	89	266	45	45	532	90
1	1	90	269	45	45	538	91
1	1	91	272	46	46	544	92
