MedicineType	SkillLevel	Value	NeedMedicineCount	Comment
药类型, 公式生成=MOD((ROW(B3)-3),2)+1	技能等级,公式ROUNDDOWN((ROW(B4)-3)/2,0)+1	增加幅度，公式 =50+(B3-1)*50	消耗药槽数量=ROUNDDOWN((ROW(B4)-4)/2,0)+1	公式，拖拉生成
1	1	60	1	红药1
1	2	96	1	
1	3	132	1	
1	4	168	1	
1	5	204	1	
1	6	240	1	
1	7	276	1	
1	8	312	1	
1	9	348	1	
1	10	384	1	
1	11	420	2	
1	12	456	2	
1	13	656	2	
1	14	704	2	
1	15	752	2	
1	16	800	2	
1	17	848	2	
1	18	896	2	
1	19	944	2	
1	20	992	2	
1	21	1040	3	
1	22	1088	3	
1	23	1136	3	
1	24	1184	3	
1	25	1232	3	
1	26	1280	3	
1	27	1328	3	
1	28	1376	3	
1	29	1424	3	
1	30	1472	3	
1	31	1520	4	
1	32	3136	4	
1	33	3232	4	
1	34	3328	4	
1	35	3424	4	
1	36	3520	4	
1	37	3616	4	
1	38	3712	4	
1	39	3808	4	
1	40	3904	4	
1	41	4000	5	
1	42	4096	5	
1	43	4192	5	
1	44	4288	5	
1	45	4384	5	
1	46	4480	5	
1	47	4576	5	
1	48	4672	5	
1	49	4768	5	
1	50	4864	5	
1	51	5960	6	
1	52	7056	7	
1	53	8152	8	
1	54	9248	9	
1	55	10344	10	
1	56	11440	11	
1	57	12536	12	
1	58	13632	13	
1	59	14728	14	
1	60	15824	15	
2	1	100	1	蓝药1
2	2	160	1	
2	3	220	1	
2	4	280	1	
2	5	340	1	
2	6	400	1	
2	7	460	1	
2	8	520	1	
2	9	580	1	
2	10	640	1	
2	11	700	2	
2	12	760	2	
2	13	820	2	
2	14	880	2	
2	15	940	2	
2	16	1000	2	
2	17	1060	2	
2	18	1120	2	
2	19	1180	2	
2	20	1240	2	
2	21	1300	3	
2	22	1360	3	
2	23	1420	3	
2	24	1480	3	
2	25	1540	3	
2	26	1600	3	
2	27	1660	3	
2	28	1720	3	
2	29	1780	3	
2	30	1840	3	
2	31	1900	4	
2	32	1960	4	
2	33	2020	4	
2	34	2080	4	
2	35	2140	4	
2	36	2200	4	
2	37	2260	4	
2	38	2320	4	
2	39	2380	4	
2	40	2440	4	
2	41	2500	5	
2	42	2560	5	
2	43	2620	5	
2	44	2680	5	
2	45	2740	5	
2	46	2800	5	
2	47	2860	5	
2	48	2920	5	
2	49	2980	5	
2	50	3040	5	
2	51	3100	6	
2	52	3160	6	
2	53	3220	6	
2	54	3280	6	
2	55	3340	6	
2	56	3400	6	
2	57	3460	6	
2	58	3520	6	
2	59	3580	6	
2	60	3640	6	
