Name	Desc	Id	Type	Target	Icon	View	Intro	Broadcast	Rate	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
合成公式名字	合成描述	公式编号		G#D#P#L			介绍	是否广播	1000	G#D#P#L#数量									
白虎幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	1	3	18#1#615#0				0	1000	18#1#31#0#3									
罴熊幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	2	3	18#1#616#0				0	1000	18#1#615#0#3									
麒麟幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	3	3	18#1#617#0				0	1000	18#1#616#0#3									
雪豹幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	4	3	18#1#618#0				0	1000	18#1#617#0#3									
拳蟹幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	5	3	18#1#619#0			恭喜%s成功合成了一颗拳蟹幻化丹，真是羡煞旁人啊！	1	1000	18#1#618#0#3									
圣蝎幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	6	3	18#1#620#0			恭喜%s成功合成了一颗圣蝎幻化丹，真是羡煞旁人啊！	1	1000	18#1#619#0#3									
神龙幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	7	3	18#1#621#0			恭喜%s成功合成了一颗神龙幻化丹，真是羡煞旁人啊！	1	1000	18#1#620#0#3									
凤蝶幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	8	3	18#1#622#0			恭喜%s成功合成了一颗凤蝶幻化丹，真是羡煞旁人啊！	1	1000	18#1#621#0#3									
锦鲤幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	9	3	18#1#623#0			恭喜%s成功合成了一颗锦鲤幻化丹，真是羡煞旁人啊！	1	1000	18#1#622#0#3									
仙凤幻化丹	<color=yellow>坐骑幻化的必需品，喂食后可将坐骑形象进化至下一等级。	10	3	18#1#624#0			恭喜%s成功合成了一颗仙凤幻化丹，真是羡煞旁人啊！	1	1000	18#1#623#0#3									
初级武器锻造书	<color=yellow>绿装武器升级所必须的材料	11	1	18#1#311#0				0	1000	18#4#80#0#10									
初级披风锻造书	<color=yellow>绿装披风升级所必须的锻造书	12	1	18#1#312#0				0	1000	18#4#80#0#10									
初级项链锻造书	<color=yellow>绿装项链升级所必须的材料	13	1	18#1#313#0				0	1000	18#4#80#0#10									
初级鞋子锻造书	<color=yellow>绿装鞋子升级所必须的锻造书	14	1	18#1#314#0				0	1000	18#4#80#0#10									
初级腰坠锻造书	<color=yellow>绿装腰坠升级所必须的材料	15	1	18#1#315#0				0	1000	18#4#80#0#10									
初级头饰锻造书	<color=yellow>绿装头饰升级所必须的材料	16	1	18#1#316#0				0	1000	18#4#80#0#10									
初级衣服锻造书	<color=yellow>绿装衣服升级所必须的材料	17	1	18#1#317#0				0	1000	18#4#80#0#10									
初级腰带锻造书	<color=yellow>绿装腰带升级所必须的材料	18	1	18#1#318#0				0	1000	18#4#80#0#10									
中级武器锻造书	<color=yellow>蓝装武器升级所必须的材料	19	1	18#4#13#0				0	1000	18#4#81#0#20	18#4#80#0#10								
中级披风锻造书	<color=yellow>蓝装披风升级所必须的锻造书	20	1	18#4#14#0				0	1000	18#4#81#0#20	18#4#80#0#10								
中级项链锻造书	<color=yellow>蓝装项链升级所必须的材料	21	1	18#4#15#0				0	1000	18#4#81#0#20	18#4#80#0#10								
