ID	Desc	Rarity	EquipLevelMin	EquipLevelMax	MagicName	Param1Min	Param1Max	Param2Min	Param2Max	Param3Min	Param3Max	Type
1		1	10	10	addconst	5	6					0
2		1	10	10	addstrth	2	2					0
3		1	10	10	addagile	2	2					0
4		1	10	10	addintel	2	2					0
5		1	10	10	addspirt	2	2					0
6		1	10	10	addmaxlife_v	30	35					0
7		1	10	10	addmaxmana_v	30	35					0
8		1	10	10	addhitrate_v	45	47					0
9		1	10	10	addcriticalrate_v	6	10					0
10		1	10	10	addmagiccriticalrate_v	6	10					0
11		1	10	10	adddodge_v	45	47					0
12		1	10	10	addarmor_v	31	35					0
13		2	10	10	addconst	7	8					0
14		2	10	10	addstrth	3	3					0
15		2	10	10	addagile	3	3					0
16		2	10	10	addintel	3	3					0
17		2	10	10	addspirt	3	3					0
18		2	10	10	addmaxlife_v	40	45					0
19		2	10	10	addmaxmana_v	40	45					0
20		2	10	10	addhitrate_v	48	50					0
21		2	10	10	addcriticalrate_v	11	16					0
22		2	10	10	addmagiccriticalrate_v	11	16					0
23		2	10	10	adddodge_v	48	50					0
24		2	10	10	addarmor_v	36	40					0
25		1	20	20	addconst	23	26					0
26		1	20	20	addstrth	4	5					0
27		1	20	20	addagile	4	5					0
28		1	20	20	addintel	4	5					0
29		1	20	20	addspirt	4	5					0
30		1	20	20	addmaxlife_v	130	143					0
31		1	20	20	addmaxmana_v	130	143					0
32		1	20	20	addhitrate_v	85	91					0
33		1	20	20	addcriticalrate_v	11	16					0
34		1	20	20	addmagiccriticalrate_v	11	16					0
35		1	20	20	adddodge_v	84	90					0
36		1	20	20	addarmor_v	80	86					0
37		2	20	20	addconst	27	30					0
38		2	20	20	addstrth	6	7					0
39		2	20	20	addagile	6	7					0
40		2	20	20	addintel	6	7					0
41		2	20	20	addspirt	6	7					0
42		2	20	20	addmaxlife_v	144	155					0
43		2	20	20	addmaxmana_v	144	155					0
44		2	20	20	addhitrate_v	92	95					0
45		2	20	20	addcriticalrate_v	17	20					0
46		2	20	20	addmagiccriticalrate_v	17	20					0
47		2	20	20	adddodge_v	91	95					0
48		2	20	20	addarmor_v	87	91					0
49		1	30	30	addconst	41	46					0
50		1	30	30	addstrth	7	10					0
51		1	30	30	addagile	7	10					0
52		1	30	30	addintel	7	10					0
53		1	30	30	addspirt	7	10					0
54		1	30	30	addmaxlife_v	232	245					0
55		1	30	30	addmaxmana_v	232	245					0
56		1	30	30	addhitrate_v	121	126					0
57		1	30	30	addcriticalrate_v	35	41					0
58		1	30	30	addmagiccriticalrate_v	35	41					0
59		1	30	30	adddodge_v	119	125					0
60		1	30	30	addarmor_v	119	125					0
61		2	30	30	addconst	47	50					0
62		2	30	30	addstrth	11	12					0
63		2	30	30	addagile	11	12					0
64		2	30	30	addintel	11	12					0
65		2	30	30	addspirt	11	12					0
66		2	30	30	addmaxlife_v	246	255					0
67		2	30	30	addmaxmana_v	246	255					0
68		2	30	30	addhitrate_v	127	130					0
69		2	30	30	addcriticalrate_v	42	45					0
70		2	30	30	addmagiccriticalrate_v	42	45					0
71		2	30	30	adddodge_v	126	130					0
72		2	30	30	addarmor_v	126	130					0
73		1	40	40	addconst	48	55					0
74		1	40	40	addstrth	9	13					0
75		1	40	40	addagile	9	13					0
76		1	40	40	addintel	9	13					0
77		1	40	40	addspirt	9	13					0
78		1	40	40	addmaxlife_v	295	310					0
79		1	40	40	addmaxmana_v	295	310					0
80		1	40	40	addhitrate_v	132	141					0
81		1	40	40	addcriticalrate_v	64	70					0
82		1	40	40	addmagiccriticalrate_v	64	70					0
83		1	40	40	adddodge_v	132	141					0
84		1	40	40	addarmor_v	158	168					0
85		2	40	40	addconst	56	60					0
86		2	40	40	addstrth	14	16					0
87		2	40	40	addagile	14	16					0
88		2	40	40	addintel	14	16					0
89		2	40	40	addspirt	14	16					0
90		2	40	40	addmaxlife_v	311	319					0
91		2	40	40	addmaxmana_v	311	319					0
92		2	40	40	addhitrate_v	142	147					0
93		2	40	40	addcriticalrate_v	71	73					0
94		2	40	40	addmagiccriticalrate_v	71	73					0
95		2	40	40	adddodge_v	142	147					0
96		2	40	40	addarmor_v	169	176					0
97		3	40	40	addconst	61	64					0
98		3	40	40	addstrth	17	18					0
99		3	40	40	addagile	17	18					0
100		3	40	40	addintel	17	18					0
101		3	40	40	addspirt	17	18					0
102		3	40	40	addmaxlife_v	320	325					0
103		3	40	40	addmaxmana_v	320	325					0
104		3	40	40	addhitrate_v	148	150					0
105		3	40	40	addcriticalrate_v	74	75					0
106		3	40	40	addmagiccriticalrate_v	74	75					0
107		3	40	40	adddodge_v	148	150					0
108		3	40	40	addarmor_v	177	180					0
109		1	50	50	addconst	64	71					0
110		1	50	50	addstrth	15	19					0
111		1	50	50	addagile	15	19					0
112		1	50	50	addintel	15	19					0
113		1	50	50	addspirt	15	19					0
114		1	50	50	addmaxlife_v	375	389					0
115		1	50	50	addmaxmana_v	375	389					0
116		1	50	50	addhitrate_v	154	162					0
117		1	50	50	addcriticalrate_v	91	100					0
118		1	50	50	addmagiccriticalrate_v	91	100					0
119		1	50	50	adddodge_v	152	161					0
120		1	50	50	addarmor_v	212	232					0
121		2	50	50	addconst	72	77					0
122		2	50	50	addstrth	20	22					0
123		2	50	50	addagile	20	22					0
124		2	50	50	addintel	20	22					0
125		2	50	50	addspirt	20	22					0
126		2	50	50	addmaxlife_v	390	400					0
127		2	50	50	addmaxmana_v	390	400					0
128		2	50	50	addhitrate_v	163	167					0
129		2	50	50	addcriticalrate_v	101	106					0
130		2	50	50	addmagiccriticalrate_v	101	106					0
131		2	50	50	adddodge_v	162	167					0
132		2	50	50	addarmor_v	233	253					0
133		3	50	50	addconst	78	80					0
