Name	Desc	Genre	DetailType	ParticularType	Icon	View	Intro	CurrencyType	Price	Stack	ItemValue	MakeCost	BindType	Valuable	CanTrade	CanDestroy	ReqLevel	Quality	ClassName	ForbidType	CDType	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
升级材料测试	升级材料测试	18	4	1			测试	1	10	10			1					2													
中级金精	\r<color=yellow>绿品武器升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	2			绿装武器升级所必须的材料	1	200	100								3													
中级天石	\r<color=yellow>绿品武器、护符、披风升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	3			绿装武器、绿装护符、绿装披风升级所必须的材料	1	200	100								3													
中级火种	\r<color=yellow>绿品护符、项链升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	4			绿装护符和绿装项链升级所必须的材料	1	200	100								3													
中级精魂	\r<color=yellow>绿品项链、戒指升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	5			绿装项链和绿装戒子升级所必须的材料	1	200	100								3													
中级布片	\r<color=yellow>绿品戒指、腰坠、鞋子升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	6			绿装戒子、绿装腰坠、绿装鞋子升级所必须的材料	1	200	100								3													
中级舍利	\r<color=yellow>绿品腰坠、头饰升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	7			绿装腰坠和绿装头饰升级所必须的材料	1	200	100								3													
中级冰魄	\r<color=yellow>绿品头饰、衣服升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	8			绿装头饰和绿装衣服升级所必须的材料	1	200	100								3													
中级软皮	\r<color=yellow>绿品衣服、腰带、披风升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	9			绿装衣服、绿装腰带、绿装披风升级所必须的材料	1	200	100								3													
中级线团	\r<color=yellow>绿品腰带、鞋子升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	10			绿装腰带和绿装披风升级所必须的材料	1	200	100								3													
中级茸毛	\r<color=yellow>绿品披风、鞋子升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	11			停用	1	200	100								3													
中级木灵	\r<color=yellow>绿品披风升级为蓝品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	12			停用	1	200	100								3													
中级武器锻造书	\r<color=yellow>绿品武器升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	13			绿装武器升级所必须的材料	1	200	100								3													
中级护符·披风锻造书	\r<color=yellow>绿品护符、披风升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	14			绿装护符、披风升级所必须的锻造书	1	200	100								3													
中级项链锻造书	\r<color=yellow>绿品项链升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	15			绿装项链升级所必须的材料	1	200	100								3													
中级戒指·鞋子锻造书	\r<color=yellow>绿品戒指、鞋子升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	16			绿装戒指、鞋子升级所必须的锻造书	1	200	100								3													
中级腰坠锻造书	\r<color=yellow>绿品腰坠升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	17			绿装腰坠升级所必须的材料	1	200	100								3													
中级头饰锻造书	\r<color=yellow>绿品头饰升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	18			绿装头饰升级所必须的材料	1	200	100								3													
中级衣服锻造书	\r<color=yellow>绿品衣服升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	19			绿装衣服升级所必须的材料	1	200	100								3													
中级腰带锻造书	\r<color=yellow>绿品腰带升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	20			绿装腰带升级所必须的材料	1	200	100								3													
中级披风锻造书	\r<color=yellow>绿品披风升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	21			停用	1	200	100								3													
中级鞋子锻造书	\r<color=yellow>绿品鞋子升级为蓝品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	22			停用	1	200	100								3													
高级金精	\r<color=yellow>蓝品武器升级为紫品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	23			蓝装武器升级所必须的材料	1	300	100								4													
高级天石	\r<color=yellow>蓝品武器、护符、披风升级为紫品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	24			蓝装武器、蓝装护符、蓝装披风升级所必须的材料	1	300	100								4													
高级火种	\r<color=yellow>蓝品护符、项链升级为紫品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	25			蓝装护符和蓝装项链升级所必须的材料	1	300	100								4													
高级精魂	\r<color=yellow>蓝品项链、戒指升级为紫品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	26			蓝装项链和蓝装戒子升级所必须的材料	1	300	100								4													
高级布片	\r<color=yellow>蓝品戒指、腰坠、鞋子升级为紫品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	27			蓝装戒子、蓝装腰坠、蓝装鞋子升级所必须的材料	1	300	100								4													
高级舍利	\r<color=yellow>蓝品腰坠、头饰升级为紫品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	28			蓝装腰坠和蓝装头饰升级所必须的材料	1	300	100								4													
高级冰魄	\r<color=yellow>蓝品头饰、衣服升级为紫品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	29			蓝装头饰和蓝装衣服升级所必须的材料	1	300	100								4													
高级软皮	\r<color=yellow>蓝品衣服、腰带、披风升级为紫品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	30			蓝装衣服、蓝装腰带、蓝装披风升级所必须的材料	1	300	100								4													
高级线团	\r<color=yellow>蓝品腰带、鞋子升级为紫品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	31			蓝装腰带和蓝装鞋子升级所必须的材料	1	300	100								4													
高级武器锻造书	\r<color=yellow>蓝品武器升级为紫品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	32			蓝装武器升级所必须的锻造书	1	300	100								4													
高级护符·披风锻造书	\r<color=yellow>蓝品护符、披风升级为紫品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	33			蓝装护符、披风升级所必须的锻造书	1	300	100								4													
高级项链锻造书	\r<color=yellow>蓝品项链升级为紫品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	34			蓝装项链升级所必须的锻造书	1	300	100								4													
高级戒指·鞋子锻造书	\r<color=yellow>蓝品戒指、鞋子升级为紫品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	35			蓝装戒指、鞋子升级所必须的锻造书	1	300	100								4													
高级腰坠锻造书	\r<color=yellow>蓝品腰坠升级为紫品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	36			蓝装腰坠升级所必须的锻造书	1	300	100								4													
高级头饰锻造书	\r<color=yellow>蓝品头饰升级为紫品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	37			蓝装头饰升级所必须的锻造书	1	300	100								4													
高级衣服锻造书	\r<color=yellow>蓝品衣服升级为紫品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	38			蓝装衣服升级所必须的锻造书	1	300	100								4													
高级腰带锻造书	\r<color=yellow>蓝品腰带升级为紫品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	39			蓝装腰带升级所必须的锻造书	1	300	100								4													
顶级金精	\r<color=yellow>紫品武器升级为橙品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	40			紫装武器升级所必须的材料	1	400	100								5													
顶级天石	\r<color=yellow>紫品武器、护符、披风升级为橙品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	41			紫装武器、紫装护符、紫装披风升级所必须的材料	1	400	100								5													
顶级火种	\r<color=yellow>紫品护符、项链升级为橙品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	42			紫装护符和紫装项链升级所必须的材料	1	400	100								5													
顶级精魂	\r<color=yellow>紫品项链、戒指升级为橙品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	43			紫装项链和紫装戒子升级所必须的材料	1	400	100								5													
顶级布片	\r<color=yellow>紫品戒指、腰坠、鞋子升级为橙品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	44			紫装戒子、紫装腰坠、紫装鞋子升级所必须的材料	1	400	100								5													
顶级舍利	\r<color=yellow>紫品腰坠、头饰升级为橙品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	45			紫装腰坠和紫装头饰升级所必须的材料	1	400	100								5													
顶级冰魄	\r<color=yellow>紫品头饰、衣服升级为橙品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	46			紫装头饰和紫装衣服升级所必须的材料	1	400	100								5													
顶级软皮	\r<color=yellow>紫品衣服、腰带、披风升级为橙品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	47			紫装衣服、紫装腰带、紫装披风升级所必须的材料	1	400	100								5													
顶级线团	\r<color=yellow>紫品腰带、鞋子升级为橙品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	48			紫装腰带和紫装鞋子升级所必须的材料	1	400	100								5													
顶级武器锻造书	\r<color=yellow>紫品武器升级为橙品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	49			紫装武器升级所必须的锻造书	1	400	100								5													
顶级护符·披风锻造书	\r<color=yellow>紫品护符、披风升级为橙品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	50			紫装护符、披风升级所必须的锻造书	1	400	100								5													
顶级项链锻造书	\r<color=yellow>紫品项链升级为橙品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	51			紫装项链升级所必须的锻造书	1	400	100								5													
顶级戒指·鞋子锻造书	\r<color=yellow>紫品戒指、鞋子升级为橙品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	52			紫装戒指、鞋子升级所必须的锻造书	1	400	100								5													
顶级腰坠锻造书	\r<color=yellow>紫品腰坠升级为橙品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	53			紫装腰坠升级所必须的锻造书	1	400	100								5													
顶级头饰锻造书	\r<color=yellow>紫品头饰升级为橙品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	54			紫装头饰升级所必须的锻造书	1	400	100								5													
顶级衣服锻造书	\r<color=yellow>紫品衣服升级为橙品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	55			紫装衣服升级所必须的锻造书	1	400	100								5													
顶级腰带锻造书	\r<color=yellow>紫品腰带升级为橙品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	56			紫装腰带升级所必须的锻造书	1	400	100								5													
完美金精	\r<color=yellow>橙品武器升级为金品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	57			橙装武器升级所必须的材料	1	500	100								6													
完美天石	\r<color=yellow>橙品武器、护符、披风升级为金品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	58			橙装武器、橙装护符、橙装披风升级所必须的材料	1	500	100								6													
完美火种	\r<color=yellow>橙品护符、项链升级为金品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	59			橙装护符和橙装项链升级所必须的材料	1	500	100								6													
完美精魂	\r<color=yellow>橙品项链、戒指升级为金品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	60			橙装项链和橙装戒子升级所必须的材料	1	500	100								6													
完美布片	\r<color=yellow>橙品戒指、腰坠、鞋子升级为金品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	61			橙装戒子、橙装腰坠、橙装鞋子升级所必须的材料	1	500	100								6													
完美舍利	\r<color=yellow>橙品腰坠、头饰升级为金品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	62			橙装腰坠和橙装头饰升级所必须的材料	1	500	100								6													
完美冰魄	\r<color=yellow>橙品头饰、衣服升级为金品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	63			橙装头饰和橙装衣服升级所必须的材料	1	500	100								6													
完美软皮	\r<color=yellow>橙品衣服、腰带、披风升级为金品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	64			橙装衣服、橙装腰带、橙装披风升级所必须的材料	1	500	100								6													
完美线团	\r<color=yellow>橙品腰带、鞋子升级为金品所需的材料\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	65			橙装腰带和橙装鞋子升级所必须的材料	1	500	100								6													
完美武器锻造书	\r<color=yellow>橙品武器升级为金品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	66			橙装武器升级所必须的锻造书	1	500	100								6													
完美护符·披风锻造书	\r<color=yellow>橙品护符、披风升级为金品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	67			橙装护符、披风升级所必须的锻造书	1	500	100								6													
完美项链锻造书	\r<color=yellow>橙品项链升级为金品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	68			橙装项链升级所必须的锻造书	1	500	100								6													
完美戒指·鞋子锻造书	\r<color=yellow>橙品戒指、鞋子升级为金品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	69			橙装戒指、鞋子升级所必须的锻造书	1	500	100								6													
完美腰坠锻造书	\r<color=yellow>橙品腰坠升级为金品所需的锻造书\r<color=green>获得方式：\r通关单人困难副本\r\r<color=cyan>在装备升级面板中使用	18	4	70			橙装腰坠升级所必须的锻造书	1	500	100								6													
