Name	Desc	Genre	DetailType	ParticularType	Level	StoneColor	CoinType	CurrencyType	Price	Stack	ItemValue	BindType	StoneType	Quality	CanTrade	CanDestroy	ReqLevel	EquipLevel	ReqCon	PeqStr	ReqAgi	PeqInt	ReqSpr	ClassName	ForbidType	MagicName1	Magic1Param	MagicName2	Magic2Param	MagicName3	Magic3Param
一级生命宝石		18	2	1	1	1	2	2	100	999	1	1	2	2	1	1	1	1	1	1	1	1	1			addmaxlife_v	400				
二级生命宝石		18	2	1	2	1	2	2	300	999	1	1	2	2	1	1	1	1	1	1	1	1	1			addmaxlife_v	800				
三级生命宝石		18	2	1	3	1	2	2	900	999	1	1	2	3	1	1	1	1	1	1	1	1	1			addmaxlife_v	1600				
四级生命宝石		18	2	1	4	1	2	2	2700	999	1	1	2	3	1	1	1	1	1	1	1	1	1			addmaxlife_v	3200				
五级生命宝石		18	2	1	5	1	2	2	8100	999	1	1	2	4	1	1	1	1	1	1	1	1	1			addmaxlife_v	6400				
六级生命宝石		18	2	1	6	1	2	2	24300	999	1	1	2	4	1	1	1	1	1	1	1	1	1			addmaxlife_v	16000				
七级生命宝石		18	2	1	7	1	2	2	72900	999	1	1	2	5	1	1	1	1	1	1	1	1	1			addmaxlife_v	28000				
一级攻击宝石		18	2	2	1	1	2	2	100	999	1	1	1	2	1	1	1	1	1	1	1	1	1			modifydmg_v	10				
二级攻击宝石		18	2	2	2	1	2	2	300	999	1	1	1	2	1	1	1	1	1	1	1	1	1			modifydmg_v	20				
三级攻击宝石		18	2	2	3	1	2	2	900	999	1	1	1	3	1	1	1	1	1	1	1	1	1			modifydmg_v	40				
四级攻击宝石		18	2	2	4	1	2	2	2700	999	1	1	1	3	1	1	1	1	1	1	1	1	1			modifydmg_v	80				
五级攻击宝石		18	2	2	5	1	2	2	8100	999	1	1	1	4	1	1	1	1	1	1	1	1	1			modifydmg_v	160				
六级攻击宝石		18	2	2	6	1	2	2	24300	999	1	1	1	4	1	1	1	1	1	1	1	1	1			modifydmg_v	400				
七级攻击宝石		18	2	2	7	1	2	2	72900	999	1	1	1	5	1	1	1	1	1	1	1	1	1			modifydmg_v	700				
一级防御宝石		18	2	3	1	1	2	2	100	999	1	1	2	2	1	1	1	1	1	1	1	1	1			adddef_v	10				
二级防御宝石		18	2	3	2	1	2	2	300	999	1	1	2	2	1	1	1	1	1	1	1	1	1			adddef_v	20				
三级防御宝石		18	2	3	3	1	2	2	900	999	1	1	2	3	1	1	1	1	1	1	1	1	1			adddef_v	40				
