Id	NPCID	DROP_RATE	CARD_G	CARD_D	CARD_P	CARD_L	CARD_DESC	CARD_WEIGHT	PROBABILITY
1	3218	15	18	1	313	1	狼王	4	10000
2	3219	30	18	1	313	2	熊王	3	10000
3	3220	30	18	1	313	3	虎王	3	10000
4	3221	15	18	1	313	4	巨鳄	4	10000
5	3222	45	18	1	313	5	猴王	7	5000
6	3223	30	18	1	313	6	马王	3	10000
7	3224	25	18	1	313	7	异兽	4	10000
8	3225|3226	30|30	18	1	313	8	煞大目	6	8000
9	3229	40	18	1	313	9	幽冥鬼王	5	6000
10	3209	50	18	1	313	10	魏军统领	8	4000
11	3235	35	18	1	313	11	吴军统领	8	4000
12	3197	35	18	1	313	12	监军	8	4000
13	3227	30	18	1	313	13	紫苑	7	6000
14	3228	30	18	1	313	14	秦仲	7	6000
15	3286	85	18	1	313	15	任淼	8	6000
16	3301	35	18	1	313	16	萧不实	9	5000
17	3241	35	18	1	313	17	木超	6	6000
18	3244	65	18	1	313	18	夏小倩	7	5000
19	3245	45	18	1	313	19	胡坤	9	5000
20	3247	100	18	1	313	20	墨君	10	4000
21	3250	100	18	1	313	21	唐羽	10	4000
22	3320	85	18	1	313	22	胡乾	7	5000
23	6742|6740|3316	100|50|50	18	1	313	23	叶静	10	4000
24	3160	8	18	1	313	37	机关斧手	4	10000
25	3168|3169	5|5	18	1	313	38	叛军统领	5	10000
26	3171|3172	5|5	18	1	313	39	果农	4	10000
27	3242	5	18	1	313	40	机关巨狼	7	10000
28	3203	35	18	1	313	41	强盗头领	8	10000
29	3240	40	18	1	313	42	旺财	5	5000
30	5005	30	18	1	313	49	张德恒	6	8000
31	4665	70	18	1	313	55	宝玉	4	4000
32	4666	70	18	1	313	56	莺莺	4	4000
33	6735	100	18	1	313	57	火蓬春	10	4000
34	6736	100	18	1	313	58	风雪晴	10	4000
35	6737	100	18	1	313	59	慕容素	10	4000
36	6738	100	18	1	313	60	谢无忌	10	4000
37	7303	100	18	1	313	61	银花婆婆	10	4000
38	7332	100	18	1	313	62	喜多多	10	4000
39	7334	100	18	1	313	63	韩丹	10	4000
40	7335	100	18	1	313	64	郑雨华	12	4000
41	6741|6739	100|50	18	1	313	65	叶璇	12	4000
42	6751|6752|6753|6754	100|100|100|100	18	1	313	67	独孤剑	15	4000
