Id	ROOM_ID	DROP_RATE	CARD_G	CARD_D	CARD_P	CARD_L	CARD_DESC	CARD_WEIGHT	PROBABILITY
1	75	45	18	1	313	53	重振军威	6	6000
2	22	40	18	1	313	33	蛇窝脱险	6	10000
3	14|21	30|30	18	1	313	34	助人为乐	6	6000
4	60	85	18	1	313	35	后生可畏	8	6000
5	57	100	18	1	313	36	逃脱大师	10	3000
6	40	45	18	1	313	45	此地无银	6	6000
7	25|46	30|30	18	1	313	46	护花使者	5	6000
8	39	45	18	1	313	47	杀出重围	6	6000
9	30|43	35|35	18	1	313	48	猴口夺食	6	6000
10	86	100	18	1	313	54	死里逃生	6	3000
11	88|91|100	50|50|50	18	1	313	66	浴火重生	8	3000
12	70	45	18	1	313	52	勇冠三军	8	6000
