NpcId	Rate	Item_G	Item_D	Item_P	Item_L	Name
3261	80000	22	1	35	1	仙灵原木
3261	80000	22	1	37	1	灵兽毛皮
3261	80000	22	1	39	1	灵兽血
3261	80000	22	1	41	1	紫晶原石
3261	80000	22	1	43	1	仙灵果
3261	270000	18	1	114	4	4级玄晶(绑定)
3261	30000	18	1	114	5	5级玄晶(绑定)
3261	150000	18	1	289	8	逍遥谷4级令牌
3261	150000	18	1	314	1	【特殊卡】变幻
3303	100000	22	1	35	1	仙灵原木
3303	100000	22	1	37	1	灵兽毛皮
3303	100000	22	1	39	1	灵兽血
3303	100000	22	1	41	1	紫晶原石
3303	100000	22	1	43	1	仙灵果
3303	100000	18	1	114	4	4级玄晶(绑定)
3303	100000	18	1	114	5	5级玄晶(绑定)
3303	150000	18	1	289	7	逍遥谷5级令牌
3303	150000	18	1	314	1	【特殊卡】变幻
3317	0	18	1	315	1	邪灵
3318	0	18	1	316	1	圣痕
3321	0	18	1	317	1	冰莲
3325	0	18	1	334	1	怨灵
3326	0	18	1	335	1	雪晶石
