QID	SHOWFLAG	QUESTION	ANSWER	SELECT1	SELECT2	SELECT3
1	1	如何将装备链接插入到聊天栏？	Ctrl+鼠标左键点击装备	鼠标左键点击装备	Alt+鼠标右键点击装备	
2	1	装备切换的快捷键是什么？	Ctrl+W	Alt+W	Ctrl+Alt+Del	
3	1	如果想和其他玩家进行交互操作，比如：聊天、交易、查看装备……应该怎么做？	Ctrl+鼠标右键点击该玩家	鼠标右键点击该玩家	鼠标左键点击该玩家	
4	1	打开、关闭场景地图的快捷键是哪个？	Tab键	Ctrl键	Shift键	
5	1	鼠标移动到小地图上后如何拖动小地图？	按住鼠标右键进行拖动	按住鼠标左键进行拖动	按住鼠标滚轮进行拖动	
6	1	如何用小地图自动寻路？	在小地图上左键点击想要去的地方	右键点击想要去的地方	Ctrl+鼠标右键点击	
7	1	下列哪种怪不会掉落篝火？	普通怪	精英怪	首领怪	
8	1	篝火的效果是什么？	在篝火有效范围内的玩家每5秒可以获得经验	在篝火有效范围内的玩家攻击力提高	篝火可以用来取暖	
9	1	篝火点燃后持续时间有多久？	15分钟	10分钟	12分钟	
10	1	烤火时喝点酒有什么好处？	可以获得更多经验	可以提高玩家攻击	可以让玩家练成醉拳技能	
11	1	6人组队烤火同时喝酒，下列哪种情况获得经验较高？	5个人喝西北望，1个人喝女儿红	3个人喝杏花村，3个人喝稻花香	每个人都喝不同的酒	
12	1	下列哪种物品不能放入备用装备栏？	秘籍	武器	玉佩	
13	1	每次装备切换的时间间隔是多久?	60秒	30秒	45秒	
14	1	将一件装备绑定的武器放入备用装备栏时，该武器是否会被绑定？	是	否		
15	1	受伤的效果是什么？	禁止施展技能和移动，但可以吃药	禁止施展技能和移动，不能吃药	攻击力降低	
16	1	虚弱的效果是什么？	攻击力降低	被攻击时受到伤害增加	移动和施展技能的动作减慢	
17	1	迟缓的效果是什么？	移动和施展技能的动作减慢	禁止施展技能和移动，不能吃药	攻击力降低	
18	1	灼伤的效果是什么？	被攻击时受到伤害增加	攻击力降低	移动和施展技能的动作减慢	
19	1	眩晕的效果是什么？	禁止施展技能和移动，不能吃药	禁止施展技能和移动，但可以吃药	移动和施展技能的动作减慢	
20	1	攻击命中率和下列哪个因素无关？	己方攻击力	己方命中值	对方闪避值	
21	1	命中率的上下限分别是多少？	95%、5%	100%、0%		
22	1	会心一击的攻击力是普通攻击的多少倍	1.8倍	2倍	1.5倍	
23	1	白秋琳的身边站了几个义军侍卫？	2个	3个	4个	
24	1	甜酒叔擦汗时用的是哪只手？	左手	右手	没见他擦过汗	
25	1	龙泉村有几个在往锅炉里加煤的工人？	4个	3个	5个	
26	1	龙泉村的欧冶子石像旁边有几口水井	7口	6口	8口	
27	1	云中镇冶炼大师右方洗衣妇人旁的小女孩在干什么？	玩拨浪鼓	哭泣	吃糖葫芦	
28	1	云中镇冶炼大师右方舂米的旁边有何物？	椅子	风车	火炉	
29	1	云中镇叶芷琳右手边是？	石雕像	大树	茅屋	
30	1	稻香村白秋琳身后的石碑上写着什么？	风调雨顺	天下太平	还我河山	
31	1	峨眉接引弟子的名字是什么？	玄静	玄雅	玄素	
32	1	明教接引弟子的名字是什么？	童凌	罗俊	苏凌	
33	1	昆仑接引弟子的名字是什么？	归惊晴	归云飞	归天涯	
34	1	唐门接引弟子的名字是什么？	唐济民	唐青衣	唐如鹤	
35	1	现任五毒教主名叫？	古嫣然	蝶飘飘	胡献姬	
36	1	现任天王帮主名叫？	杨铁心	杨瑛	杨英	
37	1	现任翠烟门主名叫？	尹筱雨	姑月华	雁巧云	
38	1	现任明教教主名叫?	方行觉	谢苏荣	慕容昭	
39	1	襄阳漕帮帮主叫什么名字？	殷卜元	毕舒扬	夏宇昆	
40	1	巴陵县离哪个城市最近？	襄阳	成都	汴京	
41	1	防具店老板不卖下面何物？	雨花石	铜矿石	狗毛皮	
42	1	岳阳楼地图适合多少级的玩家前往？	15	25	35	
43	1	甜酒叔旁边的铁匠一般在干什么？	抡铁锤	擦汗	卖武器	
44	1	稻香村钱庄老板身边有几口箱子？	9	7	8	
45	1	从稻香村可以比较快的走路到何门派？	丐帮	天王	唐门	
46	1	稻香村的盐场是谁开的？	姓唐的	姓李的	姓刘的	
47	1	怒气技的施展间隔是多少秒？	3	2	1	
48	1	你不能在下面哪个人那买到灵芝？	沈荷叶	不动先生	张斩经	
49	1	“玉笛谁家听落梅”是？	一道菜	一种茶	一种酒	
50	1	你最多可以携带多少金币？	无限制	1000万	与等级相关	
51	1	黄裳是何许人？	武林盟特使	白虎堂护卫	家族关卡接引人	
52	1	擂台比赛时间持续多久？	11分钟	10分钟	12分钟	
53	1	汴京大相国寺主持法号是？	龙座禅师	空问禅师	玄难禅师	
54	1	翠烟接引弟子拿的什么武器?	没拿武器	刀	剑	
55	1	身上的装备可以拆解吗？	不可以	可以 	有的可以有的不可以	
56	1	1点身法能加几点会心？	不加	1点	0.5点	
57	1	《剑侠世界》登陆界面有几只鸟在飞？	没鸟	2	1	
