Name	Id	Genre	DetailType	ParticularType	Level	Bind	Price	CurrencyType	nTimeFrameStartDay	timeSaleStart	timeSaleClose	Rate	Valueable	IsOpen	Count
头	1	1	11	1	0		3500	2				0			1
肩	2	1	12	1	0		3500	2				0			1
背	3	1	13	1	0		3500	2				0			1
脚	4	1	14	1	0		3500	2				0			1
2级孔雀石	5	18	2	1	2		4	2				0			1
3级孔雀石	6	18	2	1	3		20	2				0			1
4级孔雀石	7	18	2	1	4		100	2				0			1
5级孔雀石	8	18	2	1	5		500	2				0			1
6级孔雀石	9	18	2	1	6		2500	2				0			1
2级猫眼石	10	18	2	2	2		4	2				0			1
3级猫眼石	11	18	2	2	3		20	2				0			1
4级猫眼石	12	18	2	2	4		100	2				0			1
5级猫眼石	13	18	2	2	5		500	2				0			1
6级猫眼石	14	18	2	2	6		2500	2				0			1
2级体质宝石	15	18	2	3	2		4	2				50			1
3级体质宝石	16	18	2	3	3		20	2				20			1
4级体质宝石	17	18	2	3	4		100	2				5			1
5级体质宝石	18	18	2	3	5		500	2				2			1
6级体质宝石	19	18	2	3	6		2500	2				1			1
2级筋骨宝石	20	18	2	4	2		4	2				50			1
3级筋骨宝石	21	18	2	4	3		20	2				20			1
4级筋骨宝石	22	18	2	4	4		100	2				5			1
5级筋骨宝石	23	18	2	4	5		500	2				2			1
6级筋骨宝石	24	18	2	4	6		2500	2				1			1
2级身法宝石	25	18	2	5	2		4	2				50			1
3级身法宝石	26	18	2	5	3		20	2				20			1
4级身法宝石	27	18	2	5	4		100	2				5			1
5级身法宝石	28	18	2	5	5		500	2				2			1
6级身法宝石	29	18	2	5	6		2500	2				1			1
2级元气宝石	30	18	2	6	2		4	2				50			1
3级元气宝石	31	18	2	6	3		20	2				20			1
4级元气宝石	32	18	2	6	4		100	2				5			1
5级元气宝石	33	18	2	6	5		500	2				2			1
6级元气宝石	34	18	2	6	6		2500	2				1			1
2级精神宝石	35	18	2	7	2		4	2				50			1
3级精神宝石	36	18	2	7	3		20	2				20			1
4级精神宝石	37	18	2	7	4		100	2				5			1
5级精神宝石	38	18	2	7	5		500	2				2			1
6级精神宝石	39	18	2	7	6		2500	2				1			1
2级命中宝石	40	18	2	8	2		4	2				50			1
3级命中宝石	41	18	2	8	3		20	2				20			1
4级命中宝石	42	18	2	8	4		100	2				5			1
5级命中宝石	43	18	2	8	5		500	2				2			1
6级命中宝石	44	18	2	8	6		2500	2				1			1
2级闪避宝石	45	18	2	9	2		4	2				50			1
3级闪避宝石	46	18	2	9	3		20	2				20			1
4级闪避宝石	47	18	2	9	4		100	2				5			1
5级闪避宝石	48	18	2	9	5		500	2				2			1
6级闪避宝石	49	18	2	9	6		2500	2				1			1
2级会心宝石	50	18	2	10	2		4	2				50			1
3级会心宝石	51	18	2	10	3		20	2				20			1
4级会心宝石	52	18	2	10	4		100	2				5			1
5级会心宝石	53	18	2	10	5		500	2				2			1
6级会心宝石	54	18	2	10	6		2500	2				1			1
2级生命宝石	55	18	2	11	2		4	2				50			1
3级生命宝石	56	18	2	11	3		20	2				20			1
4级生命宝石	57	18	2	11	4		100	2				5			1
5级生命宝石	58	18	2	11	5		500	2				2			1
6级生命宝石	59	18	2	11	6		2500	2				1			1
