ID	Name	Level	LevelRate	Exp	ExpType	Life	LifeReplenish	Mana	ManaReplenish	Attack	Hit	Duck	Armor	Critical	DeCritical	IgnoreDef	WalkSpeed	RunSpeed	AIMode
ID	名字	等级		经验		最大生命值	生命回复速度	最大魔法值	魔法回复速度	攻击	命中	闪避	防御	暴击	抗暴				
1	固定对话npc	60	1	0	1	100000	100000	100000	100000	1	10000	0	0				0	0	0
2	透明目标+自杀（低血量）	1	1	2	1	1	0	86	0	1	10000	1	0		1000		15	15	1
3	恶魔将军	1	1	2	1	1000	0	86	0	10	10000	1	0		1000		15	15	1
4	二郎神	1	1	2	1	900000	0	86	0	60000	10000	1	0		1000		20	20	1
5	透明目标+自杀（高血量）	1	1	2	1	140000	0	86	0	1	10000	1	0		1000		15	15	1
10	新手村魔兵	1	1	2	1	140	0	17	0	2	10000	0	0		1000		15	15	1
11	新手村天兵	1	1	2	1	300	0	10	0	1	10000	125	0				15	15	1
12	新手村小鬼	1	1	2	1	130	0	17	0	2	10000	1	0		1000		15	15	1
13	新手村中鬼	2	1	2	1	260	0	17	0	3	10000	1	0		1000		15	15	1
14	新手村黑脸鬼	3	1	2	1	800	0	86	0	10	10000	1	0		1000		15	15	1
15	新手村白脸鬼	3	1	2	1	800	0	86	0	10	10000	1	0		1000		15	15	1
16	新手村鱼怪	3	1	2	1	80	0	86	0	2	10000	1	0		1000		15	15	1
17	新手村鱼怪（中）	4	1	4	1	160	0	86	0	5	10000	1	0		1000		15	15	1
18	新手村三太子	5	1	2	1	3200	0	86	0	10	10000	1	0		1000		0	0	1
19	新手村三太子(龙)	5	1	50	1	5000	0	86	0	20	10000	1	0		1000		0	0	1
20	冰雹技能	1	1	2	1	2000	0	500	0	8	10000	125	0				12	12	1
21	内丹	1	1	2	1	1	0	478	0	180	10000	125	0				23	23	1
22	新手村水妖	4	1	2	1	280	0	86	0	2	10000	1	0		1000		15	15	1
23	新手村鱼怪	3	1	2	1	120	0	86	0	2	10000	1	0		1000		15	15	1
24	河妖(白天)	6	1	2	1	800	0	86	0	16	10000	1	0		1000		15	15	1
25	河怪（白天）	6	1	2	1	800	0	86	0	16	10000	1	0		1000		15	15	1
26	强盗（用在城门口）	8	1	2	1	980	0	86	0	14	10000	1	0		1000		15	15	1
27	河妖（黑夜）	6	1	2	1	500	0	86	0	18	10000	1	0		1000		15	15	1
28	河怪（黑夜）	6	1	2	1	600	0	86	0	18	10000	1	0		1000		15	15	1
29	大河怪（黑夜）	7	1	50	1	8000	0	86	0	140	10000	1	0		1000		15	15	1
30	闪电(城镇要道)(这个改要慎重)	1	1	2	1	1	0	86	0	500	10000	1	0		1000		15	15	1
31	怪盗小李	8	1	2	1	390	0	86	0	50	10000	1	0		1000		23	23	1
32	强盗	8	1	2	1	990	0	86	0	14	10000	1	0		1000		15	15	1
33	正义小白脸	1	1	2	1	1	0	500	0	5	10000	125	0				16	16	1
34	大当家	9	1	100	1	9000	0	86	0	60	10000	1	0		1000		15	15	1
35	二当家	8	1	50	1	1600	0	86	0	30	10000	0	0		1000		15	15	1
36	三当家	8	1	50	1	1600	0	86	0	30	10000	0	0		1000		15	15	1
37	巨石(吊桥)	1	1	4	1	1	0	86	0	200	10000	1	0		1000		15	15	1
38	狂暴熊精（山路）	11	1	4	1	2000	0	86	0	80	10000	1	0		1000		15	15	1
39	西域飞龙（吊桥）	14	1	4	1	14000	0	86	0	100	10000	1	0		1000		0	0	1
40	熊精（山路）	11	1	4	1	900	0	86	0	30	10000	1	0		1000		15	15	1
