Index	SkillId1	SkillRate1	SkillId2	SkillRate2	SkillId3	SkillRate3	SkillId4	SkillRate4	SkillId5	SkillRate5	npctitle
1	500	100									
2	501	100									
3	502	100									
4	500	50	502	50							
5	510	75	504	20	505	5					ลฃBมห
6	511	100									ลฃBด๓มห
7	513	80	517	15	518	5					
8	514	80	519	15	520	5					
9	515	80	521	15	522	5					
10	516	80	523	15	524	5					
11	512	80	525	15	526	5					
12	14	80	13	15	11	5					
13	14	100									
14	582	100									
15	561	50	558	50							
16	563	100									
17	566	100									
18	573	100	576	0							
19	574	100	575	0							
20	572	30	568	30	569	40	570	0			
21	578	100	579	0	580	0	581	0			
22	562	30	559	30	560	40					
23	582	75	365	25							
24	582	100									
25	66	75	74	25							
26	74	100									
27	14	50	9	50							
28	9	100									
29	571	100									
30	582	100	577	0							
31	583	100	555	0	553	0	556	0	557		
32	554	0									
