ID	SkillType	SkillName	SkillId1	SkillId2	SkillId3	SkillId4	SkillId5	SkillCD	BuffId1	BuffId2	BuffId3	BuffId4	BuffId5	ToSelf
	0:普通攻击 1：加血 2：减血 3：加攻击 4： 减防御								填触发那个buffID，跟技能升级没影响
6	0	跟随神仙-普通单攻1 （巨灵神）	2000	2000	2000	2000	2000	8	8072	8072	8072	8072	8072	0
7	0	跟随神仙-普通单攻1 （龟丞相）	2001	2001	2001	2001	2001	8	8071	8071	8071	8071	8071	0
8	0	跟随神仙-普通单攻1 （护丹童女）	2002	2002	2002	2002	2002	8	8069	8069	8069	8069	8069	0
9	0	跟随神仙-普通单攻1 （日月星君）	2003	2003	2003	2003	2003	8	8070	8070	8070	8070	8070	0
10	0	跟随神仙-普通单攻2 （南海龙太子）	2004	2004	2004	2004	2004	8	8076	8076	8076	8076	8076	0
11	0	跟随神仙-普通单攻2 （三公主）	2005	2005	2005	2005	2005	8	8073	8073	8073	8073	8073	0
12	0	跟随神仙-普通单攻2 （紫霞仙子）	2006	2006	2006	2006	2006	8	8074	8074	8074	8074	8074	0
13	0	跟随神仙-普通单攻2（雷震子）	2007	2007	2007	2007	2007	8	8075	8075	8075	8075	8075	0
14	0	跟随神仙-普通单攻3 （哪吒）	2008	2008	2008	2008	2008	8	8080	8080	8080	8080	8080	0
15	0	跟随神仙-普通单攻3 （嫦娥）	2009	2009	2009	2009	2009	8	8077	8077	8077	8077	8077	0
16	0	跟随神仙-普通单攻3 （九天玄女）	2010	2010	2010	2010	2010	8	8078	8078	8078	8078	8078	0
17	0	跟随神仙-普通单攻3 （猪八戒）	2011	2011	2011	2011	2011	8	8079	8079	8079	8079	8079	0
18	0	跟随神仙-普通单攻4 （二郎神）	2012	2012	2012	2012	2012	8	8081	8081	8081	8081	8081	0
19	0	跟随神仙-普通单攻4 （托塔天王）	2013	2013	2013	2013	2013	8	8082	8082	8082	8082	8082	0
20	0	跟随神仙-普通单攻4 （王母娘娘）	2014	2014	2014	2014	2014	8	8084	8084	8084	8084	8084	0
21	0	跟随神仙-普通单攻4 （阎罗王）	2015	2015	2015	2015	2015	8	8083	8083	8083	8083	8083	0
22	0	跟随神仙-普通单攻5 （孙悟空）	2016	2016	2016	2016	2016	8	8086	8086	8086	8086	8086	0
23	0	跟随神仙-普通单攻5 （精卫）	2017	2017	2017	2017	2017	8	8087	8087	8087	8087	8087	0
24	0	跟随神仙-普通单攻5 （南海观音）	2018	2018	2018	2018	2018	8	8088	8088	8088	8088	8088	0
25	0	跟随神仙-普通单攻5 （太上老君）	2019	2019	2019	2019	2019	8	8085	8085	8085	8085	8085	0
26	0	跟随神仙-普通单攻6 （盘古）	2020	2020	2020	2020	2020	8	8089	8089	8089	8089	8089	0
27	0	跟随神仙-普通单攻6 （如来佛祖）	2021	2021	2021	2021	2021	8	8091	8091	8091	8091	8091	0
28	0	跟随神仙-普通单攻6 （女娲）	2022	2022	2022	2022	2022	8	8092	8092	8092	8092	8092	0
29	0	跟随神仙-普通单攻6 （伏羲）	2023	2023	2023	2023	2023	8	8090	8090	8090	8090	8090	0
30	3	跟随神仙-加攻击力1（巨灵神）	2100	2100	2100	2100	2100	480	8021	8021	8021	8021	8021	1
31	3	跟随神仙-加攻击力2（南海龙太子）	2105	2105	2105	2105	2105	480	8023	8023	8023	8023	8023	1
32	3	跟随神仙-加攻击力3（哪吒）	2110	2110	2110	2110	2110	480	8025	8025	8025	8025	8025	1
33	3	跟随神仙-加攻击力4（二郎神）	2115	2115	2115	2115	2115	480	8027	8027	8027	8027	8027	1
34	3	跟随神仙-加攻击力5（孙悟空）	2120	2120	2120	2120	2120	480	8029	8029	8029	8029	8029	1
35	3	跟随神仙-加攻击力6（盘古）	2125	2125	2125	2125	2125	480	8031	8031	8031	8031	8031	1
36	4	跟随神仙-加防御值1 （龟丞相）	2200	2200	2200	2200	2200	480	8045	8045	8045	8045	8045	1
37	4	跟随神仙-加防御值2  （三公主）	2205	2205	2205	2205	2205	480	8047	8047	8047	8047	8047	1
38	4	跟随神仙-加防御值3 （织女）	2210	2210	2210	2210	2210	480	8049	8049	8049	8049	8049	1
39	4	跟随神仙-加防御值4 （托塔天王）	2215	2215	2215	2215	2215	480	8051	8051	8051	8051	8051	1
40	4	跟随神仙-加防御值5 （精卫）	2220	2220	2220	2220	2220	480	8053	8053	8053	8053	8053	1
41	4	跟随神仙-加防御值6 （如来佛祖）	2225	2225	2225	2225	2225	480	8055	8055	8055	8055	8055	1
42	1	跟随神仙-回复生命1 （护丹童女）	2300	2300	2300	2300	2300	480	8057	8057	8057	8057	8057	1
43	1	跟随神仙-回复生命2 （紫霞仙子）	2305	2305	2305	2305	2305	480	8059	8059	8059	8059	8059	1
