PatrolPathID	PatrolPathWalkSpeed	PatrolPathOrderID	PatrolPathFileName
1	20	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist0.txt
2	20	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist1.txt
3	20	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist2.txt
4	20	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist3.txt
5	20	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist4.txt
6	20	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist5.txt
7	6	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist6.txt
8	24	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist7.txt
9	24	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist8.txt
10	26	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist9.txt
11	22	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist10.txt
12	22	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist11.txt
13	6	1	setting/scene/gk_jxdp/patrolpath/patrolpathlist12.txt
