TrapClass	TrapId	Type	Param1	Param2	Param3	Param4	Comment	MapIn	TrapPointX	TrapPointY	TrapPointZ
XSC01trap1	1	TaskTransFb	100	912	366	1048576		3	5749	2092	1048576
XSC01trap2	2	TaskTransFb	102	912	366	1048576		3	3204	6906	1048576
XSC01trap3	3	transfer	4	7553	7379	1048576		3	540	7038	1048576
D_TTZtrap1	4	TaskTransFb	104	2326	4878	1048576		4	1893	4591	1048576
D_TTZtrap2	5	TaskTransFb	112	4260	4443	1048576		4	7874	772	1048576
D_TTZtrap3	6	transfer	5	7019	4164	1048576		4	6245	4271	1048576
D_TTZtrap4	40	TaskTransFb	104	2326	4878	1048576		4	6308	7467	1048576
D_TTZtrap5	19	transfer	3	880	6846	1048576		4	7819	7808	1048576
D_LXD_trap3	7	transfer	4	6268	4058	1048576		5	7669	4147	1048576
D_LXD_trap1	8	TaskTransFb	116	860	858	1048576		5	3986	6704	1048576
D_LXD_trap2	9	TaskTransFb	916	860	858	1048576		5	3985	1799	1048576
D_LXD_trap4	39	transfer	6	7921	1065	1048576		5	1946	6508	1048576
D_HD_SJtrap01	10	transfer	341	3175	687	1048576					
D_GK_JXDPtrap1	11	transfer	500	1896	4809	1048576		500	1862	5067	1048576
D_GK_JXDPtrap2	12	transfer	500	2181	6431	1048576		500	2550	6504	1048576
D_GK_JXDPtrap3	13	transfer	500	4729	1052	1048576		500	3882	1015	1048576
D_GK_JXDPtrap4	14	transfer	500	4795	1239	1048576		500	4543	1464	1048576
D_GK_JXDPtrap5	15	transfer	500	5140	1486	1048576		500	5224	1909	1048576
d_gk_sxdjjtrap1	16	transfer	504	2760	666	1048576		504	2750	794	1048576
d_gk_sxdjjtrap2	17	transfer	504	2757	2691	1048576		504	2750	2295	1048576
D_GK_HYQStrap1	20	transfer	503	5058	3921	1048576		503	3976	3304	1048576
D_GK_HYQStrap2	21	transfer	503	5341	3843	1048576		503	5560	4225	1048576
D_HD_SJtrap01	22	transfer	341	4510	555	1048576		341	4203	1859	1048576
d_pld_trap1	41	transfer	5	2292	6204	1048576		6	7749	416	1048576
d_pld_trap2	42	TaskTransFb	132	3901	2336	1048576		6	6167	3288	1048576
d_pld_trap3	43	TaskTransFb	500	3901	2336	1048576		6	2567	3276	1048576
d_pld_trap4	44	transfer	7	5507	527	1048576		6	7638	7642	1048576
bwc_trap1	45	transfer	338	4104	2213	1048576		338	4094	2836	1048576
bwc_trap2	46	transfer	338	4101	3569	1048576		338	4101	3406	1048576
