ShowerId	Exp	ZhenQi
1	10	125
2	10	130
3	10	135
4	10	140
5	10	145
6	10	150
7	10	155
8	10	160
9	10	165
10	10	170
11	10	175
12	10	180
13	10	185
14	10	190
15	10	195
16	10	200
17	10	205
18	10	210
19	10	215
20	10	220
21	10	225
22	10	230
23	10	235
24	10	240
25	10	245
26	10	250
27	10	255
28	10	260
29	10	265
30	10	270
31	10	275
32	10	280
33	10	285
34	10	290
35	10	295
36	10	300
37	10	305
38	10	310
39	10	315
40	10	320
41	10	325
42	10	330
43	10	335
44	10	340
45	10	345
46	10	350
47	10	355
48	10	360
49	10	365
50	10	370
51	10	375
52	10	380
53	10	385
54	10	390
55	10	395
56	10	400
57	10	405
58	10	410
59	10	415
60	10	420
