TASK_GROUP	TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	TASK_OVERDATE	SYNC_FLAG	CLIENT_FLAG	TASK_DESCRIBE
分组ID（ID占用不连续请空行）	开始ID	结束ID	任务名称	过期年月日(20091010)	0：不同步，1：同步到客户端	0:不可；1:客户端可决定	任务描述
0			整组由系统占用				
0	2046	2046	被抓进桃源天牢的时间				
0	2047	2047	在桃源天牢呆多久				
0	3000	3000	查BUG用				
1			*危险地带，别用也别删*		0	0	
3	1	21	快捷栏纪录(第21号按位从低到高每3位标志着对应快捷方式的类型)		1	1	
4	1	10	技能快捷栏纪录(每4位对应一项记录 ) 高位用来存当前显示技能		1	1	
5	1	100	活动计数		1	0	
900			可重复任务的完成次数				
1000			任务引擎任务完成标记				
1001			任务引擎-任务1				
1002			任务引擎-任务2				
1003			任务引擎-任务3				
1004			任务引擎-任务4				
1005			任务引擎-任务5				
1006			任务引擎-任务6				
1007			任务引擎-任务7				
1008			任务引擎-任务8				
1009			任务引擎-任务9				
1010			任务引擎-任务10				
1011			任务引擎-任务11				
1012			任务引擎-任务12				
1013			任务引擎-任务13				
1014			任务引擎-任务14				
1015			任务引擎-任务15				
1016			任务引擎-任务16				
1017			任务引擎-任务17				
1018			任务引擎-任务18				
1019			任务引擎-任务19				
1020			任务引擎-任务20				
1021	1	6	支线		1	0	
1021	7	16	支线		1	0	
1021	17	28	支线		1	0	
1021	28	37	支线		1	0	
1021	37	56	支线		1	0	
1021	57	85	支线		1	0	
1022	1	115	新手村1-3		1	0	
1022	116	231	副本扫荡控制		1	0	
1022	600	1000	困难副本扫荡控制		1	0	
1023	1	400	特殊和挑战		1	0	
1024	1	5	镖车		1	0	
2050			逍遥录任务		1	0	
2051	1	1	每日福利领取		1	0	
2052	1	1	进入战场记录当前等级		1	0	
2053	1	2	系统奖励相关（新手奖励，满级奖励）		1	0	
2060			记录每天完成关卡次数		1	0	
2070			记录每天完成副本次数		1	0	
2080			记录完成的副本次数		1	0	
2081			记录当前正在扫荡的副本信息		1	0	
2090			记录上次升级卦象时间和冷却时间		1	0	
9999			新手指引		1	1	
5000			当前进入的活动索引		0	0	
5001	1	5	神仙卡牌相关次数记录		0	0	
5002			处理青蛙和仙女的显示		1	0	
5003			翻牌历史次数		0	0	
5004	1	5	解锁大神		1	0	
5005	1	5	蛮荒之地		1	0	
5006	1	1	击杀玩家数量		0	0	
6001	1	60	每日任务1		1	0	
6002	1	60	每日任务2		1	0	
6003	1	60	每日任务3		1	0	
6004	1	60	每日任务4		1	0	
6005	1	60	每日任务5		1	0	
6006	1	60	每日任务全局变量		1	0	
6007	1	60	在线奖励		1	0	
