TrapClass	TrapTaskId	TaskId	TaskStep	InstanceId
xsctrap1	1	2	1	2
wstrap2	1	10	2	150
wstrap2	2	10	3	150
wstrap2	3	11	1	150
wstrap2	4	11	2	150
wstrap2	5	11	3	150
wstrap2	6	14	2	151
wstrap2	7	14	3	151
wstrap2	8	14	4	151
wstrap2	9	14	5	151
wstrap2	10	0	0	152
twctrap2	1	17	2	153
twctrap2	2	17	3	153
twctrap2	3	17	4	153
twctrap2	4	17	5	153
twctrap2	5	17	6	153
twctrap2	6	21	1	154
twctrap2	7	21	2	154
twctrap2	8	21	4	155
twctrap2	9	21	5	155
twctrap2	10	23	1	156
twctrap2	11	23	2	156
twctrap2	12	23	3	156
twctrap2	13	25	4	157
twctrap2	14	25	5	157
twctrap2	15	25	6	157
twctrap2	16	25	7	157
wjtytrap3	1	22	2	159
wjtytrap3	2	22	3	159
wjtytrap3	3	24	3	160
wjtytrap3	4	24	4	160
wjtytrap3	5	24	5	160
