LayerId	MopTime	ExpAwardPercent	Money
1	120	300	225
2	120	600	450
3	120	900	675
4	120	1200	900
5	120	1500	1125
6	120	1800	1350
7	120	2100	1575
8	120	2400	1800
9	120	2700	2025
10	120	3000	2250
11	120	3520	2970
12	120	3840	3240
13	120	4160	3510
14	120	4480	3780
15	120	4800	4050
16	120	5120	4320
17	120	5440	4590
18	120	5760	4860
19	120	6080	5130
20	120	6400	5400
21	120	7140	6300
22	120	7480	6600
23	120	7820	6900
24	120	8160	7200
25	120	8500	7500
26	120	8840	7800
27	120	9180	8100
28	120	9520	8400
29	120	9860	8700
30	100	10200	9000
31	100	11160	10230
32	100	11520	10560
33	100	11880	10890
34	100	12240	11220
35	100	12600	11550
36	100	12960	11880
37	100	13320	12210
38	100	13680	12540
39	100	14040	12870
40	90	14400	13200
41	90	16400	14760
42	90	16800	15120
43	90	17200	15480
44	90	17600	15840
45	90	18000	16200
46	90	23000	16560
47	90	23500	16920
48	90	24000	17280
49	90	24500	17640
50	90	25000	18000
51	75	30600	19125
52	75	31200	19500
53	75	31800	19875
54	75	32400	20250
55	75	33000	20625
56	75	56000	21000
57	75	57000	21375
58	75	58000	21750
59	75	59000	22125
60	75	60000	22500
61	75	61000	22875
62	75	62000	23250
63	75	63000	23625
64	75	64000	24000
65	75	65000	24375
66	75	66000	24750
67	75	67000	25125
68	75	68000	25500
69	75	69000	25875
70	75	70000	26250
71	75	71000	26625
72	75	72000	27000
73	75	73000	27375
74	75	74000	27750
75	75	75000	28125
76	75	76000	28500
77	75	77000	28875
78	75	78000	29250
79	75	79000	29625
80	75	80000	30000
81	75	81000	30375
82	75	82000	30750
83	75	83000	31125
84	75	84000	31500
85	75	85000	31875
86	75	86000	32250
87	75	87000	32625
88	75	88000	33000
89	75	89000	33375
90	75	90000	33750
91	75	91000	34125
92	75	92000	34500
93	75	93000	34875
94	75	94000	35250
95	75	95000	35625
96	75	96000	36000
97	75	97000	36375
98	75	98000	36750
99	75	99000	37125
100	75	100000	37500
101	75	101000	37875
102	75	102000	38250
103	75	103000	38625
104	75	104000	39000
105	75	105000	39375
106	75	106000	39750
107	75	107000	40125
108	75	108000	40500
109	75	109000	40875
110	75	110000	41250
111	75	111000	41625
112	75	112000	42000
113	75	113000	42375
114	75	114000	42750
115	75	115000	43125
116	75	116000	43500
117	75	117000	43875
118	75	118000	44250
119	75	119000	44625
120	75	120000	45000
