Id	ROOM_ID	DROP_RATE	CARD_G	CARD_D	CARD_P	CARD_L	CARD_DESC	CARD_WEIGHT	PROBABILITY	nCloseLock
1	2	60	18	1	2	0	牛刀杀鸡	6	10000	3
2	1	60	18	1	3	0	零件拆解	6	10000	
3	16	60	18	1	4	0	围追堵截	6	10000	
4	12	60	18	1	5	0	百鬼夜行	6	10000	
5	18	60	18	1	6	0	阵法大师	6	10000	
6	14	60	18	1	7	0	诸邪退散	6	10000	
7	17	60	18	1	8	0	举个栗子	6	10000	
8	9	60	18	1	9	0	钉刺拳套	6	10000	
9	11	60	18	1	10	0	巨型獠牙	6	10000	
10	15	60	18	1	11	0	虫王之翼	6	10000	
11	23	60	18	1	12	0	带血大棒	6	10000	
12	8	60	18	1	13	0	老鼠	6	10000	
13	24	60	18	1	14	0	匠师之锤	6	10000	
14	26	60	18	1	15	0	化生人偶	6	10000	
15	22	60	18	1	16	0	曾雅	6	10000	
16	28	60	18	1	17	0	水莫研	6	10000	
17	29	60	18	1	18	0	金不欢	6	10000	
18	30	60	18	1	19	0	木否愚	6	10000	
19	31	60	18	1	20	0	罗虎	6	10000	
20	35	60	18	1	21	0	钓鱼翁	6	10000	
