PointClass	X	Y	Z	FaceDirection
pos1	6820	6096	1048576	0
pos1	6722	6273	1048576	0
pos1	6500	6374	1048576	0
pos1	6343	6346	1048576	0
pos1	6262	6285	1048576	0
pos1	6042	6392	1048576	0
pos1	5810	6321	1048576	0
pos1	5939	6117	1048576	0
pos1	6161	6000	1048576	0
pos1	6410	5902	1048576	0
pos1	6597	5886	1048576	0
pos1	6634	5841	1048576	0
pos1	6395	6070	1048576	0
pos1	6506	6200	1048576	0
pos1	6618	6042	1048576	0
pos1	6755	5973	1048576	0
pos1	6839	5833	1048576	0
pos1	6978	5690	1048576	0
pos1	6848	5640	1048576	0
pos2	5790	6340	1048576	0
pos2	5838	6476	1048576	0
pos2	5953	6498	1048576	0
pos2	6135	6517	1048576	0
pos2	5970	6337	1048576	0
pos2	6101	6402	1048576	0
pos3	5559	5284	1048576	0
pos3	5431	5470	1048576	0
pos3	5270	5534	1048576	0
pos3	5162	5442	1048576	0
pos3	5085	5300	1048576	0
pos3	5181	5164	1048576	0
pos3	5296	4918	1048576	0
pos3	5502	4872	1048576	0
pos3	5672	4878	1048576	0
pos3	5488	4977	1048576	0
pos3	5255	4999	1048576	0
pos3	5220	5193	1048576	0
pos3	5384	5205	1048576	0
pos3	5323	5161	1048576	0
pos3	5239	5313	1048576	0
pos3	5441	5205	1048576	0
pos4	4674	5681	1048576	0
pos4	4480	5809	1048576	0
pos4	4316	5788	1048576	0
pos4	4258	5642	1048576	0
pos4	4187	5478	1048576	0
pos4	4409	5387	1048576	0
pos4	4618	5232	1048576	0
pos4	4773	5219	1048576	0
pos4	4787	5329	1048576	0
pos4	4606	5601	1048576	0
pos4	4430	5635	1048576	0
pos4	4547	5580	1048576	0
pos4	4481	5671	1048576	0
pos5	4572	4986	1048576	0
pos5	4383	4983	1048576	0
pos5	4330	4912	1048576	0
pos5	4329	4774	1048576	0
pos5	4424	4698	1048576	0
pos5	4591	4590	1048576	0
pos5	4773	4517	1048576	0
pos5	4885	4634	1048576	0
pos5	4800	4776	1048576	0
pos5	4653	4668	1048576	0
pos5	4574	4795	1048576	0
pos5	4677	4796	1048576	0
pos5	4718	4904	1048576	0
pos5	4560	4954	1048576	0
pos5	4651	4937	1048576	0
pos6	3372	5392	1048576	0
pos6	3272	5633	1048576	0
pos6	3114	5849	1048576	0
pos6	2937	5811	1048576	0
pos6	2830	5815	1048576	0
pos6	2553	5832	1048576	0
pos6	2574	5626	1048576	0
pos6	2698	5403	1048576	0
pos6	2881	5212	1048576	0
pos6	3011	5170	1048576	0
pos6	3100	5168	1048576	0
