PointClass	X	Y	Z	FaceDirection
yinxing	1322	7521	1048576	0
yinxing	1181	4871	1048576	0
yinxing	4104	4538	1048576	0
yinxing	6988	4837	1048576	0
yinxing	6855	7536	1048576	0
pingzhang	4203	1859	1048576	65
lubiao1	4099	2408	1048576	190
lubiao2	4112	3324	1048576	190
lubiao3	4095	4305	1048576	190
lubiao4	4065	5223	1048576	190
lubiao5	4100	6138	1048576	190
buffpos1	1322	7521	1048576	0
buffpos1	1181	4871	1048576	0
buffpos1	4104	4538	1048576	0
buffpos1	6988	4837	1048576	0
buffpos1	6855	7536	1048576	0
zhanhun1	3668	6836	1048576	0
zhanhun1	3693	7456	1048576	0
zhanhun1	4151	7692	1048576	0
zhanhun1	4458	7452	1048576	0
zhanhun1	4601	6978	1048576	0
zhanhun1	4246	6580	1048576	0
zhanhun2	4022	5223	1048576	0
zhanhun2	4144	5223	1048576	0
zhanhun2	4028	5031	1048576	0
zhanhun2	4190	5002	1048576	0
zhanhun2	4026	4851	1048576	0
zhanhun2	4200	4838	1048576	0
zhanhun2	4047	4686	1048576	0
zhanhun2	4225	4635	1048576	0
zhanhun2	4024	4501	1048576	0
zhanhun2	4207	4498	1048576	0
zhanhun3	1749	4762	1048576	0
zhanhun3	1626	5117	1048576	0
zhanhun3	1309	5357	1048576	0
zhanhun3	954	5306	1048576	0
zhanhun3	778	5032	1048576	0
zhanhun3	807	4635	1048576	0
zhanhun3	1123	4400	1048576	0
zhanhun3	1517	4471	1048576	0
zhanhun4	964	7619	1048576	0
zhanhun4	977	7348	1048576	0
zhanhun4	1160	7115	1048576	0
zhanhun4	1431	7038	1048576	0
zhanhun4	1628	7144	1048576	0
zhanhun4	1674	7483	1048576	0
zhanhun4	1667	7763	1048576	0
zhanhun5	6539	7367	1048576	0
zhanhun5	6544	7617	1048576	0
zhanhun5	6621	7242	1048576	0
zhanhun5	6858	7153	1048576	0
zhanhun5	7075	7198	1048576	0
zhanhun5	7257	7312	1048576	0
zhanhun5	7224	7627	1048576	0
zhanhun5	6944	7844	1048576	0
zhanhun6	7088	5312	1048576	0
zhanhun6	6725	5246	1048576	0
zhanhun6	6513	4991	1048576	0
zhanhun6	6560	4618	1048576	0
zhanhun6	6787	4354	1048576	0
zhanhun6	7074	4286	1048576	0
zhanhun6	7351	4372	1048576	0
zhanhun6	7532	4627	1048576	0
zhanhun6	7550	5044	1048576	0
zhanhun6	7220	5154	1048576	0
zhanhun6	6839	5031	1048576	0
zhanhun6	6951	4622	1048576	0
