PointClass	X	Y	Z	FaceDirection
monster1	3024	912	1048576	0
monster1	3123	1030	1048576	0
monster1	3201	837	1048576	0
monster2	3320	1448	1048576	0
monster2	3361	1608	1048576	0
monster2	3589	1377	1048576	0
monster3	3286	2014	1048576	0
monster3	3401	2097	1048576	0
monster3	3525	1945	1048576	0
monster4	3058	2755	1048576	0
monster4	3112	2926	1048576	0
monster4	3252	2750	1048576	0
monster5	2426	3367	1048576	0
monster5	2279	3267	1048576	0
monster5	2489	3122	1048576	0
monster6	1695	3360	1048576	0
monster6	1772	3182	1048576	0
monster6	1937	3294	1048576	0
monster7	1305	3251	1048576	0
monster7	1212	3149	1048576	0
monster7	1464	3080	1048576	0
monster8	836	2868	1048576	0
monster8	860	2700	1048576	0
monster8	1013	2758	1048576	0
monster9	688	2392	1048576	0
monster9	725	2221	1048576	0
monster9	857	2307	1048576	0
monster10	633	1916	1048576	0
monster10	755	1804	1048576	0
monster10	789	1898	1048576	0
monster11	614	1687	1048576	0
monster11	712	1564	1048576	0
monster11	848	1627	1048576	0
monster12	904	1063	1048576	0
monster12	1013	891	1048576	0
monster12	1200	1018	1048576	0
monster13	1666	627	1048576	0
monster13	1838	487	1048576	0
monster13	1898	621	1048576	0
monster14	2263	669	1048576	0
monster14	2375	660	1048576	0
monster14	2496	574	1048576	0
