PointClass	X	Y	Z	FaceDirection
jidi	4393	7970	1048576	0
middletower1	4442	6977	1048576	0
middletower2	4442	5966	1048576	0
shangtower1	3599	7537	1048576	0
shangtower2	2444	7329	1048576	0
shangtower3	1578	6560	1048576	0
shangtower4	1192	5615	1048576	0
xiatower1	5317	7479	1048576	0
xiatower2	6389	7365	1048576	0
xiatower3	7219	6600	1048576	0
xiatower4	7501	5699	1048576	0
middlenpc1	4328	6490	1048576	0
middlenpc1	4354	6677	1048576	0
middlenpc1	4536	6632	1048576	0
middlenpc1	4588	6513	1048576	0
middlenpc1	4433	6425	1048576	0
shangnpc1	2704	7424	1048576	0
shangnpc1	2887	7331	1048576	0
shangnpc1	3006	7414	1048576	0
shangnpc1	2917	7552	1048576	0
shangnpc1	2816	7588	1048576	0
shangnpc2	1740	6918	1048576	0
shangnpc2	1632	6826	1048576	0
shangnpc2	1747	6746	1048576	0
shangnpc2	1869	6764	1048576	0
shangnpc2	1927	6901	1048576	0
shangnpc3	1187	6074	1048576	0
shangnpc3	1130	5963	1048576	0
shangnpc3	1290	5992	1048576	0
shangnpc3	1329	6107	1048576	0
shangnpc3	1247	6186	1048576	0
xianpc1	5916	7490	1048576	0
xianpc1	6026	7571	1048576	0
xianpc1	6119	7507	1048576	0
xianpc1	6148	7375	1048576	0
xianpc1	6032	7394	1048576	0
xianpc2	6746	7077	1048576	0
xianpc2	6759	6956	1048576	0
xianpc2	6838	6931	1048576	0
xianpc2	6888	6995	1048576	0
xianpc2	6835	7113	1048576	0
xianpc3	7244	6136	1048576	0
xianpc3	7241	6041	1048576	0
xianpc3	7322	5981	1048576	0
xianpc3	7398	6035	1048576	0
xianpc3	7410	6138	1048576	0
