PointClass	X	Y	Z	FaceDirection
jidi	4419	586	1048576	0
middletower1	4393	1406	1048576	0
middletower2	4504	2351	1048576	0
shangtower1	3674	958	1048576	0
shangtower2	2699	918	1048576	0
shangtower3	1619	1595	1048576	0
shangtower4	1329	2497	1048576	0
xiatower1	5417	923	1048576	0
xiatower2	6343	883	1048576	0
xiatower3	7045	1315	1048576	0
xiatower4	7408	2083	1048576	0
middlenpc1	4393	1823	1048576	0
middlenpc1	4356	1952	1048576	0
middlenpc1	4418	1995	1048576	0
middlenpc1	4567	1879	1048576	0
middlenpc1	4500	1758	1048576	0
shangnpc1	3159	927	1048576	0
shangnpc1	3227	842	1048576	0
shangnpc1	3382	813	1048576	0
shangnpc1	3333	920	1048576	0
shangnpc1	3398	853	1048576	0
shangnpc2	2049	1185	1048576	0
shangnpc2	2115	1280	1048576	0
shangnpc2	2242	1208	1048576	0
shangnpc2	2381	1109	1048576	0
shangnpc2	2195	1101	1048576	0
shangnpc3	1344	2103	1048576	0
shangnpc3	1336	2005	1048576	0
shangnpc3	1436	1940	1048576	0
shangnpc3	1500	2043	1048576	0
shangnpc3	1454	2115	1048576	0
xianpc1	5763	922	1048576	0
xianpc1	5887	839	1048576	0
xianpc1	6032	853	1048576	0
xianpc1	6013	952	1048576	0
xianpc1	5910	1005	1048576	0
xianpc2	6613	1107	1048576	0
xianpc2	6692	1028	1048576	0
xianpc2	6797	1007	1048576	0
xianpc2	6827	1123	1048576	0
xianpc2	6702	1205	1048576	0
xianpc3	7110	1692	1048576	0
xianpc3	7205	1803	1048576	0
xianpc3	7273	1713	1048576	0
xianpc3	7276	1585	1048576	0
xianpc3	7371	1724	1048576	0
