PointClass	X	Y	Z	FaceDirection
jidi	4419	586	1048576	0
middletower1	4441	1482	1048576	0
middletower2	4436	2492	1048576	0
middlenpc1	4313	1823	1048576	0
middlenpc1	4478	1768	1048576	0
middlenpc1	4529	1768	1048576	0
middlenpc1	4620	1760	1048576	0
middlenpc1	4599	1889	1048576	0
middlenpc1	4489	1943	1048576	0
middlenpc1	4384	1975	1048576	0
middlenpc1	4366	2103	1048576	0
middlenpc1	4492	2050	1048576	0
middlenpc1	4610	1998	1048576	0
lefttower1	2855	902	1048576	0
lefttower2	1405	1825	1048576	0
leftnpc1	3321	974	1048576	0
leftnpc1	3166	975	1048576	0
leftnpc1	3005	1031	1048576	0
leftnpc1	3004	912	1048576	0
leftnpc1	3008	782	1048576	0
leftnpc1	3178	694	1048576	0
leftnpc1	3297	695	1048576	0
leftnpc1	3189	816	1048576	0
leftnpc1	3384	784	1048576	0
leftnpc3	1285	2088	1048576	0
leftnpc3	1147	1894	1048576	0
leftnpc3	1243	1777	1048576	0
leftnpc3	1344	1710	1048576	0
leftnpc3	1537	1706	1048576	0
leftnpc3	1520	1938	1048576	0
leftnpc3	1649	1878	1048576	0
leftnpc3	1580	1701	1048576	0
leftnpc3	1339	1662	1048576	0
righttower1	6166	913	1048576	0
righttower2	7329	1709	1048576	0
rightnpc1	5980	953	1048576	0
rightnpc1	6106	1112	1048576	0
rightnpc1	6256	1056	1048576	0
rightnpc1	6259	957	1048576	0
rightnpc1	6299	752	1048576	0
rightnpc1	6160	716	1048576	0
rightnpc1	6369	970	1048576	0
rightnpc1	6404	837	1048576	0
rightnpc1	6171	1166	1048576	0
rightnpc1	6046	854	1048576	0
rightnpc3	7020	1725	1048576	0
rightnpc3	7148	1634	1048576	0
rightnpc3	7216	1590	1048576	0
rightnpc3	7312	1505	1048576	0
rightnpc3	7374	1447	1048576	0
rightnpc3	7460	1514	1048576	0
rightnpc3	7358	1604	1048576	0
rightnpc3	7276	1650	1048576	0
rightnpc3	7256	1824	1048576	0
rightnpc3	7398	1706	1048576	0
rightnpc3	7502	1618	1048576	0
