PointClass	X	Y	Z	FaceDirection
flower	1181	1190	1048576	0
flower	1404	1043	1048577	0
flower	1256	987	1048578	0
flower	1077	1103	1048579	0
flower	595	757	1048580	0
flower	686	524	1048581	0
flower	933	366	1048582	0
flower	1140	394	1048582	0
flower	958	1190	1048576	0
flower	960	1043	1048577	0
flower	974	987	1048578	0
flower	1077	1103	1048579	0
flower	595	757	1048580	0
flower	686	524	1048581	0
flower	933	366	1048582	0
flower	856	394	1048582	0
flower	800	1190	1048576	0
flower	750	1043	1048577	0
flower	1256	987	1048578	0
flower	642	1103	1048579	0
flower	589	757	1048580	0
flower	686	524	1048581	0
flower	933	366	1048582	0
flower	1194	394	1048582	0
flower	548	1000	1048576	0
flower	687	1043	1048577	0
flower	1256	987	1048578	0
flower	1077	1103	1048579	0
flower	595	757	1048580	0
flower	686	524	1048581	0
flower	933	366	1048582	0
flower	1194	394	1048582	0
flower	686	524	1048581	0
flower	933	366	1048582	0
