PointClass	X	Y	Z	FaceDirection
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
npcbornplace	4820	6898	1048576	0
shenxianjiejie	5766	3917	1048576	75
paotaTransmit1	6303	3909	1048576	0
paotaTransmit2	6260	3619	1048576	0
paotaTransmit3	4252	1820	1048576	0
transmit	1547	3388	1048576	0
transmit	6295	3359	1048576	0
paota3	5849	3171	1048576	0
mofadan3a	5760	3516	1048576	0
mofadan3b	6008	3443	1048576	0
mofadan3c	6183	3194	1048576	0
paota2	2502	4323	1048576	0
mofadan2a	2686	4135	1048576	0
mofadan2b	2433	4078	1048576	0
mofadan2c	2244	4291	1048576	0
paota1	2201	6172	1048576	0
mofadan1a	2349	6402	1048576	0
mofadan1b	2033	6395	1048576	0
mofadan1c	1957	6112	1048576	0
buff	6093	3365	1048576	0
buff	2462	4064	1048576	0
buff	2315	6455	1048576	0
zisha	5086	6874	1048576	0
beisha	6060	4340	1048576	0
beisha	6090	4220	1048576	0
beisha	6246	4249	1048576	0
yinxingBUFF	3840	6922	1048576	0
