PointClass	X	Y	Z	FaceDirection
shibing1	4576	2545	1048576	0
shibing1	4947	2753	1048576	0
shibing1	5024	2391	1048576	0
shibing1	4924	2391	1048576	0
shibing1	4947	2553	1048576	0
shibing1	4782	2080	1048576	0
shibing1	5189	2103	1048576	0
shibing2	4133	2439	1048576	0
shibing2	4133	2339	1048576	0
shibing2	3900	2038	1048576	0
shibing2	4147	1964	1048576	0
shibing2	3900	2338	1048576	0
shibing2	4147	1964	1048576	0
shibing2	4449	2189	1048576	0
shibing3	4133	2439	1048576	0
shibing3	3900	2138	1048576	0
shibing3	3800	2138	1048576	0
shibing3	4147	1964	1048576	0
shibing3	4449	2189	1048576	0
shibing3	4047	1964	1048576	0
shibing3	4249	2189	1048576	0
