PointClass	X	Y	Z	FaceDirection
jiefei1	6512	2430	1048576	0
jiefei11	6595	2353	1048576	0
jiefei11	6353	2518	1048576	0
jiefei2	5321	2264	1048576	0
jiefei22	5407	2178	1048576	0
jiefei22	5424	2101	1048576	0
jiefei3	3969	4832	1048576	0
jiefei33	4091	4615	1048576	0
jiefei3	4291	4533	1048576	0
jiefei4	3424	4119	1048576	0
jiefei44	3337	4264	1048576	0
jiefei4	3278	4324	1048576	0
dajiefei	5384	1566	1048576	0
dajiefei	6326	3218	1048576	0
dajiefei1	3302	3643	1048576	0
dajiefei1	3555	3451	1048576	0
dajiefei1	3978	5151	1048576	0
ziyou	5611	1597	1048576	52
ziyou	5447	1454	1048576	100
ziyou	6128	1378	1048576	150
ziyou	6225	1597	1048576	170
ziyou	6225	2027	1048576	170
ziyou	6570	2062	1048576	52
ziyou	6709	2225	1048576	100
ziyou	7166	2042	1048576	150
ziyou1	6469	3000	1048576	0
ziyou1	6224	3249	1048576	0
ziyou1	6045	3557	1048576	0
ziyou1	5275	1709	1048576	0
ziyou1	5008	1985	1048576	0
ziyou1	4588	2219	1048576	0
ziyou2	4793	4328	1048576	52
ziyou2	5212	4275	1048576	100
ziyou2	5750	3951	1048576	150
ziyou2	6175	3406	1048576	170
ziyou2	3937	3468	1048576	52
ziyou2	3997	3240	1048576	100
ziyou2	4140	2583	1048576	150
ziyou2	4707	2329	1048576	150
ziyou3	3058	4879	1048576	40
ziyou3	3217	5062	1048576	40
ziyou4	3431	5369	1048576	40
ziyou4	2675	4664	1048576	40
