PointClass	X	Y	Z	FaceDirection
ren	515	3267	1048576	125
ren	724	3154	1048576	160
ren	803	3620	1048576	230
ren	1042	3669	1048576	265
ren	1074	3208	1048576	335
ren	846	2987	1048576	370
ren	488	2986	1048576	405
ren	655	2705	1048576	440
ren	890	2743	1048576	475
ren	1153	2840	1048576	510
ren	1372	2978	1048576	545
ren	1217	3363	1048576	615
ren1	3326	2648	1048576	125
ren1	3310	2888	1048576	160
ren1	3052	2722	1048576	195
ren1	2898	2933	1048576	265
ren1	2589	3134	1048576	300
ren1	2879	3816	1048576	405
ren1	3084	3662	1048576	440
ren1	3130	3393	1048576	475
ren1	3340	3182	1048576	510
ren1	3198	3110	1048576	545
ren1	3458	3480	1048576	545
ren2	599	1310	1048576	125
ren2	462	1157	1048576	160
ren2	550	894	1048576	195
ren2	484	714	1048576	230
ren2	871	857	1048576	265
ren2	1043	609	1048576	300
ren2	855	584	1048576	335
ren2	1306	1042	1048576	440
ren2	1055	1002	1048576	475
ren2	876	1089	1048576	510
ren2	952	1358	1048576	545
ren2	1114	1280	1048576	545
ren3	866	3306	1048576	195
ren3	1125	3491	1048576	300
ren3	2746	2764	1048576	230
ren3	2819	3464	1048576	370
ren3	1425	3304	1048576	580
ren3	2622	3468	1048576	335
ren3	1271	709	1048576	370
ren3	1409	779	1048576	405
