PointClass	X	Y	Z	FaceDirection
tong	515	3267	1048576	125
tong	724	3154	1048576	160
tong	803	3620	1048576	230
tong	1042	3669	1048576	265
tong	1074	3208	1048576	335
tong	846	2987	1048576	370
tong	488	2986	1048576	405
tong	655	2705	1048576	440
tong	890	2743	1048576	475
tong	1153	2840	1048576	510
tong	1372	2978	1048576	545
tong	1217	3363	1048576	615
tong1	3326	2648	1048576	125
tong1	3310	2888	1048576	160
tong1	3052	2722	1048576	195
tong1	2898	2933	1048576	265
tong1	2589	3134	1048576	300
tong1	2879	3816	1048576	405
tong1	3084	3662	1048576	440
tong1	3130	3393	1048576	475
tong1	3340	3182	1048576	510
tong1	3198	3110	1048576	545
tong1	3458	3480	1048576	545
tong2	599	1310	1048576	125
tong2	462	1157	1048576	160
tong2	550	894	1048576	195
tong2	484	714	1048576	230
tong2	871	857	1048576	265
tong2	1043	609	1048576	300
tong2	855	584	1048576	335
tong2	1306	1042	1048576	440
tong2	1055	1002	1048576	475
tong2	876	1089	1048576	510
tong2	952	1358	1048576	545
tong2	1114	1280	1048576	545
tong3	866	3306	1048576	195
tong3	1125	3491	1048576	300
tong3	2746	2764	1048576	230
tong3	2819	3464	1048576	370
tong3	1425	3304	1048576	580
tong3	2622	3468	1048576	335
tong3	1271	709	1048576	370
tong3	1409	779	1048576	405
