PointClass	X	Y	Z	FaceDirection
monster	639	349	1048576	0
monster	268	489	1048576	0
monster	254	306	1048576	0
monster	376	376	1048576	0
monster	472	273	1048576	0
monster	640	213	1048576	0
monster	822	193	1048576	0
monster	865	380	1048576	0
monster	924	250	1048576	0
monster	936	351	1048576	0
monster	957	444	1048576	0
monster	113	377	1048576	0
monster	113	279	1048576	0
monster	122	199	1048576	0
monster	125	446	1048576	0
monster	134	448	1048576	0
monster	132	326	1048576	0
monster	135	188	1048576	0
monster	1348	471	1048576	0
monster	1372	343	1048576	0
monster	1364	219	1048576	0
monster	1473	289	1048576	0
monster	1496	434	1048576	0
monster	1537	268	1048576	0
monster	1065	272	1048576	0
