TemplateId	Comment	X	Y	Z	FaceDirection	RegenerationTime	PosFile	Count
451	单人剧情副本	3986	6704	1048576	0	0		
452	单人困难副本 	3985	1799	1048576	0	0		
453	通天镇  	7669	4147	1048576	0	0		
454	蓬莱岛	1946	6508	1048576	0	0		
455	九天玄女	4899	4360	1048576	0	0		
456	日月星君	4905	5826	1048576	75	0		
457	采桃仙女	3104	5882	1048576	35	0		
458	月老	2615	5008	1048576	35	0		
459	二郎神	984	4133	1048576	0	0		
460	李靖	2015	2373	1048576	230	0		
461	巨灵神	3488	3006	1048576	45	0		
462	哪咤	6040	2680	1048576	75	0		
463	嫦娥	7080	7165	1048576	75	0		
464	仙莲 	6357	7563	1048576	75	0		
466	雷震子	962	6207	1048576	75	0		
100004	铁扇	4800	3200	1066496	35	0		
