PointClass	X	Y	Z	FaceDirection
zzdaodang	5816	1439	1048576	0
zzdaodang	6054	1679	1048576	0
zzdaodang	5808	2037	1048576	0
zzdaodang	5449	1906	1048576	0
zzdaodang	5095	2320	1048576	0
zzdaodang	5439	2611	1048576	0
zzdaodang	5036	2941	1048576	0
zzdaodang	5816	1439	1048576	0
zzdaodang	6054	1679	1048576	0
zzdaodang	5808	2037	1048576	0
zzdaodang	5449	1906	1048576	0
buffZheng	5036	2941	1048576	0
buffZheng	5816	1439	1048576	0
buffZheng	6054	1679	1048576	0
buffZheng	5808	2037	1048576	0
buffZheng	5449	1906	1048576	0
buffCaiji	4832	3522	1048576	0
PaoTa1	4742	3229	1048576	0
PaoTa2	5192	3480	1048576	0
zzdaodang	4569	3257	1048576	0
zzdaodang	4610	3564	1048576	0
zzdaodang	5058	3921	1048576	0
zzdaodang	5341	3843	1048576	0
zzdaodang	5470	3617	1048576	0
zzdaodang	4510	3701	1048576	0
pingzhang1	3944	3013	1048576	0
pingzhang2	5560	4225	1048576	75
lubiao1	4655	3018	1048576	140
lubiao2	5547	3758	1048576	200
jyGuai	5098	5998	1048576	0
YunJyBuff	4220	6151	1048576	0
YunJyBuff	4442	5774	1048576	0
YunJyBuff	4875	5638	1048576	0
YunJyBuff	5360	5707	1048576	0
YunJyBuff	5448	6271	1048576	0
YunJyBuff	4826	6551	1048576	0
XuanYaGuai	2949	2995	1048576	0
XuanYaGuai	2992	3168	1048576	0
XuanYaGuai	3039	3350	1048576	0
XuanYaGuai	2909	3409	1048576	0
XuanYaGuai	2839	3297	1048576	0
XuanYaGuai	2837	3083	1048576	0
XuanYaGuai	2753	3526	1048576	0
XuanYaGuai	2657	3459	1048576	0
XuanYaGuai	2589	3328	1048576	0
XuanYaGuai	2489	3203	1048576	0
XuanYaGuai	2360	3244	1048576	0
XuanYaGuai	2384	3331	1048576	0
XuanYaGuai	2430	3446	1048576	0
XuanYaGuai	2495	3579	1048576	0
XuanYaGuai	2581	3688	1048576	0
XuanYaGuai	2394	3847	1048576	0
XuanYaGuai	2269	3794	1048576	0
XuanYaGuai	2158	3735	1048576	0
XuanYaGuai	2037	3651	1048576	0
XuanYaGuai	1904	3733	1048576	0
XuanYaGuai	1975	3764	1048576	0
XuanYaGuai	2074	3778	1048576	0
XuanYaGuai	2223	3799	1048576	0
XuanYaGuai	2338	3836	1048576	0
XuanYaTrap	2025	4104	1048576	0
JYTrap	3969	6114	1048576	0
BingBoss	1368	5130	1048576	0
HuoBoss	1991	5672	1048576	0
BingLitteNpc	1701	5348	1048576	0
BingLitteNpc	1877	5061	1048576	0
HuoLitteNpc	1905	5480	1048576	0
HuoLitteNpc	2180	5349	1048576	0
LitteNpc	1688	4865	1048576	0
LitteNpc	1931	4855	1048576	0
LitteNpc	2225	4958	1048576	0
LitteNpc	2364	5253	1048576	0
LitteNpc	2317	5633	1048576	0
LitteNpc	2035	5858	1048576	0
LitteNpc	1646	5905	1048576	0
LitteNpc	1399	5790	1048576	0
LitteNpc	1317	5532	1048576	0
LitteNpc	1327	5234	1048576	0
