PointClass	X	Y	Z	FaceDirection
zhen	3893	2196	1048576	45
zhen1	4036	2337	1048576	45
zhen1	3632	1979	1048576	45
zhen	4099	2480	1048576	45
zhen2	3660	3082	1048576	45
zhen2	2737	3002	1048576	45
zhen	3314	2540	1048576	45
zhen3	2470	3881	1048576	45
zhen	3493	3044	1048576	45
zhen	3479	3666	1048576	45
zhen	2579	3435	1048576	45
zhen	2303	3747	1048576	45
kaimen	1814	4818	1048576	45
dongxi	2868	6457	1048576	45
dongxi1	3274	6295	1048576	45
dongxi1	3243	6565	1048576	45
dongxi1	3216	6853	1048576	45
dongxi2	3950	6307	1048576	45
dongxi2	3907	6582	1048576	45
dongxi2	3877	6910	1048576	45
dongxi3	4731	6238	1048576	45
dongxi3	4718	6524	1048576	45
dongxi3	4692	6860	1048576	45
