PointClass	X	Y	Z	FaceDirection
gui	1514	5685	1048576	45
gui	1790	5695	1048576	45
gui	1500	5398	1048576	45
gui	1783	5461	1048576	45
gui	2024	5498	1048576	45
gui	967	6028	1048576	45
gui	1154	6072	1048576	45
gui	957	5817	1048576	45
gui	1178	5851	1048576	45
gui	1172	5607	1048576	45
gui	1412	6257	1048576	45
gui	1572	6234	1048576	45
gui	1723	6405	1048576	45
gui	1304	6474	1048576	45
gui	1785	6067	1048576	45
gui	1901	6302	1048576	45
gui	1906	6160	1048576	45
gui	2039	5954	1048576	45
gui1	1261	5538	1048576	45
gui1	1054	5834	1048576	45
gui1	1176	6126	1048576	52
gui1	1495	6257	1048576	75
gui1	1858	6415	1048576	100
gui1	1965	6068	1048576	45
gui1	2078	6402	1048576	255
gui1	2074	5606	1048576	45
gui2	1390	5597	1048576	45
gui2	1312	5352	1048576	45
gui2	1963	5759	1048576	45
gui2	1539	5924	1048576	45
gui2	1235	6234	1048576	45
gui2	1527	6416	1048576	45
gui2	2187	6078	1048576	45
gui3	3334	6787	1048576	52
gui3	3298	6424	1048576	75
gui3	3578	6359	1048576	100
gui3	3742	6609	1048576	45
gui3	4020	6375	1048576	255
gui3	3983	6750	1048576	45
gui3	4233	6545	1048576	75
gui3	4431	6338	1048576	255
gui3	4385	6753	1048576	75
gui3	4685	6632	1048576	80
gui3	4833	6336	1048576	40
gui3	5222	6261	1048576	90
gui3	5029	6795	1048576	45
gui3	5211	6550	1048576	58
juxing	1692	5923	1048576	35
