PointClass	X	Y	Z	FaceDirection
zhaohuan1	3997	1971	1048576	45
zhaohuan2	3998	1681	1048576	45
zhaohuan3	3988	1361	1048576	45
zhaohuan4	3968	1013	1048576	45
zhaohuan4	5500	2135	1048576	45
zhaohuan3	5561	1767	1048576	45
zhaohuan2	5562	1391	1048576	45
zhaohuan1	5547	947	1048576	45
zhaohuan1	3988	1361	1048576	45
zhaohuan2	5561	1767	1048576	45
zhaohuan3	3968	1013	1048576	45
zhaohuan4	5561	1767	1048576	45
jiaxue	4229	1921	1048576	45
jiaxue	4032	1634	1048576	45
jiaxue	4209	1279	1048576	45
jiaxue	3968	1013	1048576	45
jiaxue	5249	1077	1048576	45
jiaxue	5098	1491	1048576	45
jiaxue	5152	1927	1048576	45
dazhao	4712	2033	1048576	45
