PointClass	X	Y	Z	FaceDirection
xiejing1	4553	2776	1048576	30
xiejing	4558	2952	1048576	30
xiejing	4755	2701	1048576	30
xiejing	3900	3134	1048576	30
xiejing	4262	3656	1048576	30
xiejing	4590	3792	1048576	30
xiejing	3472	3957	1048576	30
xiejing	3484	4292	1048576	30
xiejing	4968	2981	1048576	30
xiejing	4826	3246	1048576	30
xiejing	4391	3281	1048576	30
xiejing	4744	3493	1048576	30
xiejing	4969	3750	1048576	30
xiejing	4518	3923	1048576	30
xiejing	4120	3896	1048576	30
xiejing	3891	3761	1048576	30
xiejing	3883	4311	1048576	30
xiejing	4192	4464	1048576	30
xiejing	4382	4513	1048576	30
xiejing11	4310	3632	1048576	95
xiejing2	4476	4125	1048576	30
xiejing22	4597	3957	1048576	30
xiejing2	4730	3743	1048576	30
