PointClass	X	Y	Z	FaceDirection
xiong1	6110	2196	1048576	45
xiong	5527	2774	1048576	45
xiong11	5346	2768	1048576	45
xiong	5775	2702	1048576	45
xiong2	4408	3836	1048576	45
xiong2	4558	4001	1048576	45
xiong22	4359	4039	1048576	45
xiong2	4136	4055	1048576	45
xiong2	4269	4306	1048576	45
xiong3	4646	3911	1048576	165
xiong4	4021	4560	1048576	165
xiong7	3859	4412	1048576	165
xiong4	3898	4684	1048576	165
xiong5	3696	4547	1048576	165
xiong4	3786	4821	1048576	165
xiong5	3578	4665	1048576	165
xiong4	3628	4970	1048576	165
xiong5	3433	4808	1048576	165
xiong6	4942	3259	1048576	45
xiong66	5134	2993	1048576	45
xiong8	3987	4110	1048576	90
