PointClass	X	Y	Z	FaceDirection
jiguanren	2748	1347	1048576	75
jiguanren	3018	1356	1048576	75
jiguanren	2912	1513	1048576	75
jiguanren	2744	1759	1048576	75
jiguanren	3019	1770	1048576	75
jiguanren	2732	1607	1048576	75
jiguanren	3078	1596	1048576	75
jiguanren1	3367	2104	1048576	140
jiguanren1	3371	2254	1048576	140
jiguanren1	3378	2444	1048576	140
jiguanren1	3563	2426	1048576	140
jiguanren1	3726	2062	1048576	140
jiguanren1	3700	2240	1048576	140
jiguanren1	3724	2424	1048576	140
jiguanren2	2234	2275	1048576	0
jiguanren2	2440	2104	1048576	0
jiguanren2	2424	2256	1048576	0
jiguanren2	2421	2430	1048576	0
jiguanren3	3031	2890	1048576	75
jiguanren3	2769	3045	1048576	75
jiguanren3	3038	3082	1048576	75
jiguanren3	2749	3300	1048576	75
jiguanren3	3027	3324	1048576	75
jiguanren3	2889	3477	1048576	75
jiguanren3	2796	3667	1048576	75
jiguanren3	3043	3685	1048576	75
jiguanren3	3032	3919	1048576	75
jiguanren3	2784	4019	1048576	75
jiguanren3	2988	4129	1048576	75
jiguanren4	3314	4435	1048576	75
jiguanren4	3271	4718	1048576	75
jiguanren4	3444	4567	1048576	75
jiguanren4	3662	4407	1048576	75
jiguanren4	3633	4759	1048576	75
jiguanren4	2556	4483	1048576	75
jiguanren4	2518	4814	1048576	75
jiguanren4	2345	4650	1048576	75
jiguanren4	2148	4818	1048576	75
