PointClass	X	Y	Z	FaceDirection
shuiyao1	3983	2631	1048576	140
shuiyao1	4009	2865	1048576	75
shuiyao1	3902	3303	1048576	75
shuiyao1	4167	3262	1048576	75
shuiyao1	4336	3150	1048576	75
shuiyao1	4299	3004	1048576	75
shuiyao1	4347	2805	1048576	75
shuiyao1	4182	2656	1048576	75
shuiyao8	3479	3120	1048576	75
shuiyao2	3752	3150	1048576	75
shuiyao2	3954	3180	1048576	75
shuiyao2	4180	3077	1048576	75
shuiyao2	3934	3418	1048576	75
shuiyao2	4176	3313	1048576	75
shuiyao2	3962	3514	1048576	75
shuiyao2	3598	3523	1048576	75
shuiyao2	3806	3359	1048576	75
